13,0,0,0,0,0,0,1,6,3,1,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,1,0,0,1,1,1,0,15,28,6,2,0,0
4,0,0,0,0,0,2,5,1,1,1,1,1,1,1,2,1,0,0,2,12,24,33,49,54,40,18,15,18,20,5,0,0,0,0,1,2,1,1,1,0,1,0,9,22,9,0,0
0,0,0,0,0,4,7,1,1,1,1,1,1,1,1,0,0,18,45,55,61,72,61,45,35,17,7,6,14,49,75,70,55,35,15,0,0,0,2,1,0,1,1,0,2,18,11,0
0,0,0,0,3,11,2,1,1,1,1,2,2,0,0,25,49,56,52,29,15,10,3,0,0,2,5,4,0,3,28,54,88,102,94,72,36,6,0,0,1,1,0,1,1,1,19,12
0,0,0,0,10,6,1,1,1,2,2,0,0,8,50,66,29,8,4,3,0,0,2,4,5,4,3,3,5,5,0,0,11,37,68,97,72,72,48,6,0,1,1,1,1,1,2,26
0,0,0,8,7,1,1,1,1,0,0,16,48,44,48,19,5,33,12,6,7,4,1,2,3,2,1,2,2,2,5,5,2,0,0,18,22,47,81,73,25,1,2,1,1,1,1,5
0,0,2,9,2,1,1,1,0,20,47,93,106,55,6,1,38,85,38,0,5,5,2,3,1,1,3,2,1,1,4,2,19,68,40,1,1,5,18,45,46,9,0,1,1,1,1,1
0,0,7,2,1,1,2,0,35,86,102,107,73,8,3,36,70,85,60,3,9,8,1,0,4,5,0,1,1,2,11,1,45,98,75,11,1,3,1,0,39,73,41,0,2,1,1,1
0,3,6,0,1,1,0,35,78,103,102,95,36,0,15,73,82,83,67,4,14,17,8,26,31,82,39,0,2,2,7,1,45,90,63,9,0,2,4,1,15,101,111,51,0,2,1,0
0,5,2,1,2,0,35,71,99,95,83,60,5,0,29,85,66,80,42,2,4,4,1,31,52,113,76,2,3,2,1,0,19,68,49,2,1,1,2,3,0,41,110,107,46,2,1,1
2,6,1,2,0,35,70,84,87,83,63,6,1,0,37,91,89,71,16,1,2,6,50,26,29,112,54,2,4,5,2,1,4,22,8,0,1,1,1,1,2,2,66,105,105,56,1,2
6,3,2,0,24,68,70,83,77,49,5,3,3,0,30,72,59,19,3,3,0,50,112,94,42,37,11,2,3,5,2,2,2,3,2,1,1,1,1,1,2,0,26,81,103,102,44,0
7,2,1,6,68,70,70,74,32,0,5,3,2,2,10,27,8,1,4,3,2,74,111,107,61,0,5,8,7,3,3,2,2,15,15,2,1,1,1,1,4,5,4,50,88,103,87,23
3,2,0,37,76,65,69,27,25,53,42,11,3,4,3,3,4,3,8,10,0,27,71,70,40,11,5,7,10,5,11,10,16,36,17,3,3,1,1,1,2,4,1,13,71,96,91,66
1,1,3,66,83,71,27,21,78,100,84,32,3,5,4,4,4,2,2,18,16,6,56,45,28,32,12,35,25,17,38,40,26,26,26,7,6,2,2,1,1,1,3,0,35,86,88,74
2,0,22,77,94,48,14,48,96,108,94,41,3,6,7,5,0,6,34,34,9,24,97,118,61,12,15,32,34,34,32,30,35,14,27,17,7,5,4,4,2,2,3,3,2,56,86,78
2,0,42,85,88,14,31,49,85,96,80,29,5,9,6,9,31,73,103,104,66,46,61,80,40,48,57,10,11,14,20,27,44,25,1,7,7,9,9,9,4,4,1,0,0,18,77,79
1,0,52,91,66,1,45,38,31,49,49,50,51,44,44,72,103,104,103,110,113,101,89,59,47,117,120,92,7,61,95,41,6,8,13,13,11,6,12,10,5,12,47,17,0,1,54,78
0,5,65,96,47,0,32,60,48,51,57,63,65,64,73,90,94,92,94,91,95,100,104,51,82,122,109,169,28,67,124,107,26,7,25,21,22,54,24,6,4,26,102,89,24,0,33,81
0,6,69,99,35,0,26,63,54,49,52,51,50,64,66,73,74,65,55,74,106,116,121,91,132,150,101,119,23,37,113,117,71,8,26,15,69,113,78,7,11,40,100,110,42,0,21,78
0,10,71,89,28,0,28,63,60,63,59,36,57,89,71,74,73,76,66,86,110,121,126,129,93,130,136,45,29,42,79,115,50,7,31,69,106,104,107,61,65,90,81,54,9,37,30,66
0,13,74,78,25,1,39,64,62,71,78,42,82,82,72,71,72,79,67,65,154,206,215,235,206,137,69,37,19,34,29,50,22,10,56,111,106,106,107,105,101,109,57,0,21,91,56,61
0,10,80,82,20,1,48,66,80,90,87,43,69,72,74,72,80,56,14,103,241,245,226,226,245,250,172,85,38,2,5,4,13,9,53,108,106,108,111,102,104,108,46,1,48,96,61,69
0,5,74,90,23,0,30,77,82,94,62,46,73,65,55,73,69,29,58,205,255,219,204,199,206,237,255,129,12,16,37,38,14,6,21,51,68,77,82,100,106,103,45,1,55,91,65,80
1,4,64,93,35,0,22,81,79,90,73,57,70,61,31,37,27,93,115,188,255,226,195,196,201,206,243,202,49,44,65,74,73,26,0,1,16,17,35,105,107,109,64,5,50,91,65,94
2,0,58,95,49,0,28,83,78,104,145,73,81,69,64,47,89,131,104,183,253,220,217,211,201,216,241,233,136,97,66,61,78,36,19,47,63,59,28,80,108,112,57,0,50,72,49,100
2,0,46,92,56,0,22,81,85,91,97,91,101,89,90,100,123,123,104,147,255,227,220,218,201,228,254,245,148,129,104,35,42,52,75,93,99,99,85,38,64,73,16,1,31,21,59,97
4,0,37,94,71,6,8,70,85,84,86,86,93,91,90,111,124,125,89,56,221,253,206,171,194,235,255,234,136,132,131,76,35,77,46,53,72,90,96,78,9,2,1,3,2,7,84,94
3,1,11,80,78,21,0,36,90,86,86,88,87,91,96,118,124,123,82,31,73,156,194,204,217,254,242,124,124,130,128,115,75,90,85,122,79,92,88,91,28,2,7,5,0,36,94,97
2,3,0,51,97,39,1,6,43,79,88,89,92,92,108,119,122,119,88,54,19,34,79,104,117,93,65,53,129,131,127,122,100,89,100,101,88,94,89,93,29,0,4,4,11,69,97,90
2,2,1,7,78,69,3,6,4,28,62,73,72,62,115,115,116,99,91,102,145,90,80,73,78,47,16,66,120,124,127,126,105,94,97,93,93,92,97,75,10,2,4,0,39,96,103,50
1,1,2,0,23,77,20,2,6,6,7,11,2,31,121,112,92,94,92,191,255,182,93,94,95,174,153,33,102,119,115,127,117,69,98,98,98,83,70,28,4,5,3,8,79,106,65,3
1,1,1,2,0,28,46,6,5,6,5,18,30,59,92,116,163,108,102,232,202,250,139,80,172,242,255,95,89,101,90,102,117,42,46,68,54,17,11,4,3,4,0,39,105,90,16,0
1,1,1,1,1,0,23,30,5,5,37,87,101,80,28,59,129,42,123,190,197,255,229,185,255,239,251,163,36,80,42,64,114,90,24,6,5,3,5,4,4,0,20,95,108,48,0,3
1,1,1,1,1,2,0,21,22,5,60,94,59,28,40,17,22,42,90,113,235,255,248,248,251,254,253,225,31,23,72,91,101,120,87,18,3,5,4,5,0,18,85,113,66,4,2,1
1,1,1,1,1,1,2,1,11,16,36,69,74,82,105,65,22,64,47,27,161,198,219,190,249,231,191,220,93,29,58,33,47,105,118,76,12,4,1,1,33,72,90,51,2,1,1,1
1,1,2,1,1,1,1,1,0,4,52,92,99,96,102,93,59,62,68,30,38,130,209,185,202,74,50,133,106,29,11,26,70,79,103,114,35,3,19,48,71,47,13,0,2,1,1,1
1,1,1,1,1,1,2,1,2,0,57,103,104,100,104,100,91,76,83,68,17,86,222,228,97,12,56,78,92,52,52,108,108,93,57,53,16,23,36,31,9,0,0,3,2,1,1,1
1,1,1,1,1,1,1,1,2,0,37,100,101,107,103,99,103,79,85,103,30,44,243,194,11,53,86,86,103,107,115,111,93,92,50,19,6,7,3,0,0,2,2,1,1,1,1,0
1,1,1,1,1,1,1,1,2,0,15,90,98,102,105,91,104,78,95,107,38,72,255,118,30,106,94,80,118,106,110,100,101,95,91,19,0,2,1,2,1,1,1,1,1,1,1,1
