2,1,3,0,0,7,21,31,19,12,28,17,0,0,10,6
0,5,0,3,25,28,19,10,0,5,26,49,41,12,0,8
3,0,19,88,37,56,25,0,23,1,18,44,8,43,28,0
1,13,79,46,13,71,11,44,60,3,7,20,0,11,85,29
2,57,58,32,1,1,0,68,23,5,16,14,3,0,32,87
22,59,47,73,16,47,75,60,61,44,40,13,3,5,8,54
35,45,38,53,70,84,91,116,115,68,72,30,72,47,57,30
37,38,55,73,66,49,128,227,190,41,19,45,99,105,41,71
32,43,58,99,69,72,191,231,244,154,49,37,55,80,34,67
15,52,36,90,98,119,82,151,169,145,102,86,105,38,0,72
0,30,16,21,70,108,158,128,118,96,116,79,68,9,38,68
1,1,8,42,69,47,138,237,249,97,57,75,2,20,66,10
1,3,0,51,111,83,49,159,98,80,75,77,17,24,4,0
2,1,1,18,96,102,77,143,73,100,126,61,0,0,0,2
15,3,0,0,14,67,60,82,46,85,86,20,1,2,3,10
5,16,5,2,0,7,18,15,31,27,1,0,1,3,11,2
