0,0,1,0,21,42,63,125,91,65,52,45,0,0,1,0
0,1,0,32,66,71,172,181,188,179,116,42,56,19,0,1
1,1,28,27,126,184,197,198,191,149,116,14,37,100,20,1
0,21,52,141,200,143,193,201,165,21,19,37,19,63,69,0
8,53,141,209,194,111,189,168,46,40,69,33,19,4,102,18
34,107,205,140,161,94,104,104,114,23,35,5,7,5,75,79
49,133,216,179,57,99,104,96,152,141,27,0,18,26,92,69
40,168,217,197,125,165,111,102,17,77,146,95,6,34,155,41
67,191,208,200,201,163,115,33,72,1,32,137,52,42,196,83
119,189,195,141,96,116,180,103,154,36,17,17,101,81,192,125
125,193,129,9,46,50,68,158,147,49,224,111,13,122,195,117
89,180,89,155,255,235,144,247,218,108,255,225,71,179,178,36
27,68,74,243,221,239,150,253,255,70,190,255,131,194,87,0
5,29,33,249,255,203,109,171,149,110,97,108,38,180,27,1
0,29,99,101,124,130,129,189,192,103,76,23,84,80,0,2
2,0,56,156,67,73,52,110,146,65,74,69,47,0,1,0
