0,0,1,0,21,43,66,128,92,67,53,45,0,0,1,0
0,1,0,33,67,74,173,179,187,179,117,43,58,19,0,1
1,1,30,29,129,183,196,197,189,150,119,15,38,101,20,1
0,22,54,142,200,142,192,200,164,25,24,39,20,66,70,0
8,55,143,208,194,115,189,167,45,42,71,34,19,5,100,18
34,111,205,137,161,97,104,103,115,25,36,5,9,7,76,77
51,137,214,179,58,99,102,95,152,142,27,0,21,28,97,69
43,170,216,196,123,164,109,103,18,80,147,97,6,36,160,44
72,193,207,199,201,162,115,33,74,2,35,139,52,44,197,83
121,189,194,140,95,116,181,103,156,39,17,18,102,84,190,119
118,193,128,8,45,52,69,156,145,51,225,112,17,126,193,111
85,181,88,155,255,234,144,245,216,109,255,224,73,180,178,36
29,71,75,242,216,236,147,253,255,70,189,255,129,195,88,0
5,33,32,248,255,203,108,164,144,109,96,111,39,178,26,1
0,29,97,101,124,130,126,185,187,102,76,23,84,77,0,2
2,0,54,154,66,73,51,108,140,66,73,68,46,0,1,0
