accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,tiempo
0.7358,2,8,10000,0.746923,1367,1275,3595,3763,1799
0.7391,3,8,10000,0.740572,1302,1307,3660,3731,2341
0.7418,4,8,10000,0.742557,1285,1297,3677,3741,2869
0.7446,5,8,10000,0.748114,1285,1269,3677,3769,3356
0.7418,6,8,10000,0.753077,1338,1244,3624,3794,3847
0.7447,7,8,10000,0.752084,1304,1249,3658,3789,4462
0.7431,8,8,10000,0.750099,1310,1259,3652,3779,5312
0.7388,9,8,10000,0.750496,1355,1257,3607,3781,5681
0.7426,10,8,10000,0.752481,1327,1247,3635,3791,6035
0.7518,11,8,10000,0.763398,1290,1192,3672,3846,6566
0.753,12,8,10000,0.770345,1313,1157,3649,3881,7103
0.7531,13,8,10000,0.770147,1311,1158,3651,3880,7691
0.4962,14,8,10000,0,0,5038,4962,0,65
0.7479,2,15,10000,0.765979,1342,1179,3620,3859,1884
0.7494,3,15,10000,0.753672,1265,1241,3697,3797,2402
0.752,4,15,10000,0.757046,1256,1224,3706,3814,2996
0.7552,5,15,10000,0.769551,1287,1161,3675,3877,3410
0.7494,6,15,10000,0.762009,1307,1199,3655,3839,3965
0.7547,7,15,10000,0.773124,1310,1143,3652,3895,4430
0.7515,8,15,10000,0.771139,1332,1153,3630,3885,4987
0.753,9,15,10000,0.778285,1353,1117,3609,3921,5684
0.7525,10,15,10000,0.775705,1345,1130,3617,3908,8181
0.7633,11,15,10000,0.781659,1267,1100,3695,3938,7070
0.7618,12,15,10000,0.785431,1301,1081,3661,3957,7295
0.7598,13,15,10000,0.782255,1305,1097,3657,3941,8407
0.4962,14,15,10000,0,0,5038,4962,0,64
0.7543,2,22,10000,0.775506,1326,1131,3636,3907,1886
0.7534,3,22,10000,0.755459,1234,1232,3728,3806,2558
0.7547,4,22,10000,0.76578,1273,1180,3689,3858,2957
0.7558,5,22,10000,0.771933,1293,1149,3669,3889,3378
0.7549,6,22,10000,0.770941,1297,1154,3665,3884,4384
0.7547,7,22,10000,0.77769,1333,1120,3629,3918,4562
0.7571,8,22,10000,0.776896,1305,1124,3657,3914,5058
