accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,tiempo
0.7358,2,8,10000,0.746923,1367,1275,3595,3763,1829
0.7391,3,8,10000,0.740572,1302,1307,3660,3731,2345
0.7418,4,8,10000,0.742557,1285,1297,3677,3741,3355
0.7446,5,8,10000,0.748114,1285,1269,3677,3769,3436
0.7418,6,8,10000,0.753077,1338,1244,3624,3794,3879
0.7447,7,8,10000,0.752084,1304,1249,3658,3789,4518
0.7431,8,8,10000,0.750099,1310,1259,3652,3779,5040
0.7388,9,8,10000,0.750496,1355,1257,3607,3781,5975
0.7426,10,8,10000,0.752481,1327,1247,3635,3791,6124
0.7518,11,8,10000,0.763398,1290,1192,3672,3846,6733
0.753,12,8,10000,0.770345,1313,1157,3649,3881,8495
0.7531,13,8,10000,0.770147,1311,1158,3651,3880,8004
0.4962,14,8,10000,0,0,5038,4962,0,72
0.7479,2,15,10000,0.765979,1342,1179,3620,3859,1867
0.7494,3,15,10000,0.753672,1265,1241,3697,3797,2408
0.752,4,15,10000,0.757046,1256,1224,3706,3814,2915
0.7552,5,15,10000,0.769551,1287,1161,3675,3877,3488
0.7494,6,15,10000,0.762009,1307,1199,3655,3839,3892
0.7547,7,15,10000,0.773124,1310,1143,3652,3895,4373
0.7515,8,15,10000,0.771139,1332,1153,3630,3885,4814
0.753,9,15,10000,0.778285,1353,1117,3609,3921,5582
0.7525,10,15,10000,0.775705,1345,1130,3617,3908,6407
0.7633,11,15,10000,0.781659,1267,1100,3695,3938,7469
0.7618,12,15,10000,0.785431,1301,1081,3661,3957,7115
0.7598,13,15,10000,0.782255,1305,1097,3657,3941,7544
0.4962,14,15,10000,0,0,5038,4962,0,64
0.7543,2,22,10000,0.775506,1326,1131,3636,3907,1962
0.7534,3,22,10000,0.755459,1234,1232,3728,3806,2395
0.7547,4,22,10000,0.76578,1273,1180,3689,3858,2961
0.7558,5,22,10000,0.771933,1293,1149,3669,3889,3421
0.7549,6,22,10000,0.770941,1297,1154,3665,3884,3934
0.7547,7,22,10000,0.77769,1333,1120,3629,3918,4328
0.7571,8,22,10000,0.776896,1305,1124,3657,3914,4910
0.7578,9,22,10000,0.784041,1334,1088,3628,3950,5607
0.7572,10,22,10000,0.784438,1342,1086,3620,3952,6088
0.7689,11,22,10000,0.79337,1270,1041,3692,3997,6906
0.7662,12,22,10000,0.792179,1291,1047,3671,3991,7339
0.7648,13,22,10000,0.788408,1286,1066,3676,3972,8449
0.4962,14,22,10000,0,0,5038,4962,0,64
0.758,2,29,10000,0.778682,1305,1115,3657,3923,2322
0.7562,3,29,10000,0.761215,1235,1203,3727,3835,2541
0.7579,4,29,10000,0.774514,1285,1136,3677,3902,2926
0.7554,5,29,10000,0.777293,1324,1122,3638,3916,3438
0.7569,6,29,10000,0.774712,1296,1135,3666,3903,3877
0.7583,7,29,10000,0.785629,1337,1080,3625,3958,4436
0.7597,8,29,10000,0.781659,1303,1100,3659,3938,4873
0.7576,9,29,10000,0.791385,1373,1051,3589,3987,5660
0.7553,10,29,10000,0.789202,1385,1062,3577,3976,6084
0.7672,11,29,10000,0.794561,1293,1035,3669,4003,6555
0.7679,12,29,10000,0.798531,1306,1015,3656,4023,7031
0.7685,13,29,10000,0.79337,1274,1041,3688,3997,7504
0.4962,14,29,10000,0,0,5038,4962,0,64
0.7588,2,36,10000,0.778682,1297,1115,3665,3923,1910
0.7582,3,36,10000,0.762406,1221,1197,3741,3841,2410
0.7586,4,36,10000,0.775903,1285,1129,3677,3909,2932
0.7575,5,36,10000,0.781262,1323,1102,3639,3936,3498
0.7567,6,36,10000,0.776102,1305,1128,3657,3910,3955
0.7609,7,36,10000,0.789996,1333,1058,3629,3980,4406
0.7624,8,36,10000,0.787019,1303,1073,3659,3965,4990
0.7614,9,36,10000,0.792576,1341,1045,3621,3993,5978
0.759,10,36,10000,0.794363,1374,1036,3588,4002,6179
0.7676,11,36,10000,0.794958,1291,1033,3671,4005,6802
0.7692,12,36,10000,0.798333,1292,1016,3670,4022,7362
0.7666,13,36,10000,0.791782,1285,1049,3677,3989,7818
0.4962,14,36,10000,0,0,5038,4962,0,68
0.7592,2,43,10000,0.777293,1286,1122,3676,3916,1923
0.7576,3,43,10000,0.766773,1249,1175,3713,3863,2547
0.7586,4,43,10000,0.778087,1296,1118,3666,3920,2977
0.7586,5,43,10000,0.784637,1329,1085,3633,3953,3433
0.7573,6,43,10000,0.777094,1304,1123,3658,3915,3981
0.7627,7,43,10000,0.791385,1322,1051,3640,3987,4458
0.7624,8,43,10000,0.789401,1315,1061,3647,3977,4988
0.7602,9,43,10000,0.79337,1357,1041,3605,3997,5701
