accuracy,k,testing entries,tiempo,metodo
0.6215,6,2000,64,PCA+KNN
0.699,6,2000,1921,KNN
0.6365,11,2000,66,PCA+KNN
0.73,11,2000,1937,KNN
0.645,17,2000,67,PCA+KNN
0.735,17,2000,1962,KNN
0.6515,22,2000,68,PCA+KNN
0.7535,22,2000,1977,KNN
0.6545,28,2000,70,PCA+KNN
0.754,28,2000,1968,KNN
0.651,33,2000,71,PCA+KNN
0.755,33,2000,1984,KNN
0.649,39,2000,73,PCA+KNN
0.7615,39,2000,1988,KNN
0.6545,44,2000,74,PCA+KNN
0.7755,44,2000,1975,KNN
