accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,precision,tiempo
0.7403,15,5,10000,0.750496,1340,1257,3622,3781,0.738332,11504
0.5528,1,6,10000,0.555181,2231,2241,2731,2797,0.556285,1594
0.7283,2,6,10000,0.735808,1386,1331,3576,3707,0.727862,2193
0.7277,3,6,10000,0.725089,1338,1385,3624,3653,0.731917,2880
0.7377,4,6,10000,0.735212,1289,1334,3673,3704,0.741839,3455
0.7325,5,6,10000,0.733426,1332,1343,3630,3695,0.735031,4217
0.7302,6,6,10000,0.733426,1355,1343,3607,3695,0.731683,4829
0.7392,7,6,10000,0.745137,1324,1284,3638,3754,0.739267,5406
0.7317,8,6,10000,0.73283,1337,1346,3625,3692,0.734142,6090
0.7331,9,6,10000,0.738785,1353,1316,3609,3722,0.733399,7911
0.733,10,6,10000,0.740572,1363,1307,3599,3731,0.73243,8271
0.7476,11,6,10000,0.759428,1312,1212,3650,3826,0.744648,8939
0.7451,12,6,10000,0.758039,1330,1219,3632,3819,0.741697,9582
0.7442,13,6,10000,0.753275,1315,1243,3647,3795,0.742661,10120
0.7398,14,6,10000,0.748908,1337,1265,3625,3773,0.738356,10805
0.7386,15,6,10000,0.746526,1337,1277,3625,3761,0.73774,11258
0.5569,1,7,10000,0.565502,2242,2189,2720,2849,0.559615,1611
0.7342,2,7,10000,0.745732,1377,1281,3585,3757,0.731788,2177
0.7372,3,7,10000,0.738587,1311,1317,3651,3721,0.739467,2808
0.7419,4,7,10000,0.742557,1284,1297,3678,3741,0.744478,3401
0.7417,5,7,10000,0.74474,1297,1286,3665,3752,0.743117,4268
0.7417,6,7,10000,0.749901,1323,1260,3639,3778,0.740639,4768
0.745,7,7,10000,0.756054,1321,1229,3641,3809,0.742495,5433
0.7429,8,7,10000,0.755657,1340,1231,3622,3807,0.739654,6097
0.7435,9,7,10000,0.758039,1346,1219,3616,3819,0.7394,7708
0.739,10,7,10000,0.751886,1360,1250,3602,3788,0.73582,8305
