accuracy,training entries,tiempo,recall
0.7234,2092.5,915,0.769448
0.7552,4175.0,1784,0.755341
0.7512,6257.5,2684,0.772672
0.7606,8340.0,3540,0.78557
0.762,10422.5,4430,0.783958
0.7656,12505.0,5322,0.791616
0.7706,14587.5,6216,0.795647
0.7704,16670.0,7093,0.79081
0.7702,18752.5,8100,0.802096
0.7762,20835.0,8817,0.804111
0.777,22917.5,9682,0.81056
