accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,tiempo
0.5965,20,6,2000,0.516854,334,473,687,506,22.080464601516724
0.606,30,6,2000,0.525026,323,465,698,514,24.2896831035614
0.6165,40,6,2000,0.565884,342,425,679,554,37.87070107460022
0.615,20,11,2000,0.506639,287,483,734,496,27.420682668685913
0.617,30,11,2000,0.502554,279,487,742,492,29.13122868537903
0.6435,40,11,2000,0.563841,286,427,735,552,34.93536734580994
0.608,20,17,2000,0.467824,263,521,758,458,26.729065656661987
0.629,30,17,2000,0.508682,261,481,760,498,29.7929470539093
0.637,40,17,2000,0.539326,275,451,746,528,37.56269121170044
0.62,20,22,2000,0.481103,252,508,769,471,25.223365545272827
0.628,30,22,2000,0.507661,262,482,759,497,24.22471284866333
0.6485,40,22,2000,0.541369,254,449,767,530,28.380165100097656
0.6185,20,28,2000,0.475996,250,513,771,466,23.379780292510986
0.63,30,28,2000,0.500511,251,489,770,490,26.083258628845215
0.6445,40,28,2000,0.534219,255,456,766,523,27.724820852279663
0.6135,20,33,2000,0.455567,240,533,781,446,19.556703329086304
0.621,30,33,2000,0.478039,247,511,774,468,23.834477186203003
0.641,40,33,2000,0.52094,249,469,772,510,26.992716789245605
0.626,20,39,2000,0.461696,221,527,800,452,20.15243411064148
0.6305,30,39,2000,0.477017,227,512,794,467,23.71596336364746
0.638,40,39,2000,0.512768,247,477,774,502,30.75295066833496
0.613,20,44,2000,0.447395,233,541,788,438,34.230013847351074
0.636,30,44,2000,0.482125,221,507,800,472,31.802229404449463
0.6545,40,44,2000,0.529111,230,461,791,518,36.44451880455017
