accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,tiempo
0.7518,11,8,10000,0.763398,1290,1192,3672,3846,6720
0.753,12,8,10000,0.770345,1313,1157,3649,3881,8412
0.7531,13,8,10000,0.770147,1311,1158,3651,3880,8216
0.4962,14,8,10000,0,0,5038,4962,0,66
0.7403,2,9,10000,0.752084,1348,1249,3614,3789,1881
0.7449,3,9,10000,0.744938,1266,1285,3696,3753,2460
0.7434,4,9,10000,0.746129,1287,1279,3675,3759,2959
0.7471,5,9,10000,0.753077,1285,1244,3677,3794,3610
0.7443,6,9,10000,0.757443,1335,1222,3627,3816,3965
0.746,7,9,10000,0.759031,1326,1214,3636,3824,4500
0.7476,8,9,10000,0.759825,1314,1210,3648,3828,4934
0.7435,9,9,10000,0.762406,1368,1197,3594,3841,5726
0.7451,10,9,10000,0.762207,1351,1198,3611,3840,6059
0.7533,11,9,10000,0.772727,1322,1145,3640,3893,6599
0.7553,12,9,10000,0.773521,1306,1141,3656,3897,7248
0.7523,13,9,10000,0.769154,1314,1163,3648,3875,7691
0.4962,14,9,10000,0,0,5038,4962,0,67
0.7398,2,10,10000,0.753474,1360,1242,3602,3796,1860
0.7421,3,10,10000,0.745931,1299,1280,3663,3758,2417
0.7453,4,10,10000,0.748313,1279,1268,3683,3770,2911
0.7487,5,10,10000,0.754665,1277,1236,3685,3802,3457
0.7441,6,10,10000,0.753672,1318,1241,3644,3797,3970
0.7478,7,10,10000,0.759031,1308,1214,3654,3824,4484
0.7479,8,10,10000,0.759031,1307,1214,3655,3824,4883
0.7452,9,10,10000,0.764391,1361,1187,3601,3851,5690
0.7483,10,10,10000,0.762803,1322,1195,3640,3843,6107
0.7553,11,10,10000,0.77233,1300,1147,3662,3891,6646
0.7578,12,10,10000,0.775308,1290,1132,3672,3906,7160
0.7547,13,10,10000,0.767765,1283,1170,3679,3868,7989
0.4962,14,10,10000,0,0,5038,4962,0,88
0.744,2,11,10000,0.75923,1347,1213,3615,3825,2079
0.7461,3,11,10000,0.749901,1279,1260,3683,3778,2515
0.7494,4,11,10000,0.753474,1264,1242,3698,3796,3017
0.7526,5,11,10000,0.762604,1278,1196,3684,3842,3640
0.7461,6,11,10000,0.757642,1318,1221,3644,3817,4222
0.7502,7,11,10000,0.765383,1316,1182,3646,3856,4823
0.752,8,11,10000,0.764192,1292,1188,3670,3850,5727
0.7484,9,11,10000,0.768956,1352,1164,3610,3874,9480
0.7479,10,11,10000,0.76975,1361,1160,3601,3878,6837
0.7583,11,11,10000,0.779674,1307,1110,3655,3928,7429
0.7586,12,11,10000,0.777888,1295,1119,3667,3919,7294
0.756,13,11,10000,0.771338,1288,1152,3674,3886,9810
0.4962,14,11,10000,0,0,5038,4962,0,83
0.7447,2,12,10000,0.762207,1355,1198,3607,3840,2219
0.7458,3,12,10000,0.75268,1296,1246,3666,3792,2998
0.7471,4,12,10000,0.752481,1282,1247,3680,3791,3482
0.752,5,12,10000,0.764589,1294,1186,3668,3852,3605
0.7493,6,12,10000,0.759825,1297,1210,3665,3828,4094
0.7508,7,12,10000,0.764788,1307,1185,3655,3853,4564
0.7524,8,12,10000,0.763398,1284,1192,3678,3846,5044
0.7468,9,12,10000,0.763597,1341,1191,3621,3847,6156
0.7494,10,12,10000,0.768757,1341,1165,3621,3873,6520
0.7621,11,12,10000,0.780468,1273,1106,3689,3932,8347
0.7596,12,12,10000,0.778285,1287,1117,3675,3921,7429
