accuracy,k,max_vocab_freq,testing entries,tiempo,metodo
0.53,2.142857142857143,0.1142857142857143,100,5,KNN
0.59,2.142857142857143,0.1142857142857143,100,4,Inverted Index KNN
0.53,2.142857142857143,0.1285714285714286,100,6,KNN
0.54,2.142857142857143,0.1285714285714286,100,3,Inverted Index KNN
0.56,2.142857142857143,0.14285714285714285,100,5,KNN
0.56,2.142857142857143,0.14285714285714285,100,3,Inverted Index KNN
0.55,2.142857142857143,0.15714285714285714,100,7,KNN
0.54,2.142857142857143,0.15714285714285714,100,3,Inverted Index KNN
0.53,2.142857142857143,0.17142857142857143,100,6,KNN
0.6,2.142857142857143,0.17142857142857143,100,4,Inverted Index KNN
0.59,2.142857142857143,0.18571428571428572,100,6,KNN
0.64,2.142857142857143,0.18571428571428572,100,4,Inverted Index KNN
0.56,2.142857142857143,0.2,100,7,KNN
0.62,2.142857142857143,0.2,100,4,Inverted Index KNN
0.62,2.142857142857143,0.2142857142857143,100,7,KNN
0.61,2.142857142857143,0.2142857142857143,100,4,Inverted Index KNN
0.62,2.142857142857143,0.22857142857142856,100,7,KNN
0.58,2.142857142857143,0.22857142857142856,100,4,Inverted Index KNN
0.55,2.142857142857143,0.24285714285714285,100,7,KNN
0.54,2.142857142857143,0.24285714285714285,100,4,Inverted Index KNN
0.55,2.142857142857143,0.2571428571428571,100,10,KNN
0.56,2.142857142857143,0.2571428571428571,100,4,Inverted Index KNN
0.58,2.142857142857143,0.27142857142857146,100,8,KNN
0.6,2.142857142857143,0.27142857142857146,100,5,Inverted Index KNN
0.55,2.142857142857143,0.2857142857142857,100,7,KNN
0.51,2.142857142857143,0.2857142857142857,100,5,Inverted Index KNN
0.6,3.2857142857142856,0.1142857142857143,100,5,KNN
0.62,3.2857142857142856,0.1142857142857143,100,3,Inverted Index KNN
