accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,tiempo
0.5763,1,42,10000,0.590711,2175,2062,2787,2976,1449
0.7614,8,42,10000,0.786225,1309,1077,3653,3961,5192
0.7712,15,42,10000,0.796943,1265,1023,3697,4015,9348
0.7644,22,42,10000,0.78027,1249,1107,3713,3931,17817
0.7623,29,42,10000,0.778087,1259,1118,3703,3920,23184
0.757,36,42,10000,0.772529,1284,1146,3678,3892,27975
0.7521,43,42,10000,0.766177,1301,1178,3661,3860,33370
0.7502,50,42,10000,0.762803,1303,1195,3659,3843,37223
0.7465,57,42,10000,0.752283,1287,1248,3675,3790,41978
0.7452,64,42,10000,0.762803,1353,1195,3609,3843,46723
0.7421,71,42,10000,0.760222,1371,1208,3591,3830,52299
0.7443,78,42,10000,0.747519,1285,1272,3677,3766,57232
0.7402,85,42,10000,0.744343,1310,1288,3652,3750,61941
0.7425,92,42,10000,0.749702,1314,1261,3648,3777,67425
