accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,tiempo
0.7088,128.92857142857142,43,25000,0.55096,1667,5613,10833,6887,140906
0.54704,143.14285714285714,43,25000,0.97464,11007,317,1493,12183,43635
0.54308,157.35714285714286,43,25000,0.9764,11128,295,1372,12205,50925
0.54132,171.57142857142856,43,25000,0.97848,11198,269,1302,12231,59131
0.54012,185.78571428571428,43,25000,0.97816,11224,273,1276,12227,62888
0.76392,15.214285714285714,50,25000,0.76192,2926,2976,9574,9524,20232
0.66048,29.428571428571427,50,25000,0.91512,7427,1061,5073,11439,12123
0.7476,43.64285714285714,50,25000,0.69744,2528,3782,9972,8718,54030
0.7444,57.857142857142854,50,25000,0.6744,2320,4070,10180,8430,66408
0.74148,72.07142857142857,50,25000,0.64984,2086,4377,10414,8123,72239
0.73168,86.28571428571428,50,25000,0.61848,1939,4769,10561,7731,85247
0.726,100.5,50,25000,0.59416,1777,5073,10723,7427,98431
0.55248,114.71428571428571,50,25000,0.97264,10846,342,1654,12158,34887
0.71124,128.92857142857142,50,25000,0.5532,1634,5585,10866,6915,125007
0.5422,143.14285714285714,50,25000,0.97888,11181,264,1319,12236,43459
0.539,157.35714285714286,50,25000,0.9828,11310,215,1190,12285,47717
0.53736,171.57142857142856,50,25000,0.9816,11336,230,1164,12270,51770
0.53372,185.78571428571428,50,25000,0.98216,11434,223,1066,12277,55974
0.76324,15.214285714285714,57,25000,0.76224,2947,2972,9553,9528,17208
0.65268,29.428571428571427,57,25000,0.91896,7670,1013,4830,11487,9422
0.7482,43.64285714285714,57,25000,0.69472,2479,3816,10021,8684,43903
0.74544,57.857142857142854,57,25000,0.67008,2240,4124,10260,8376,57412
0.74092,72.07142857142857,57,25000,0.64688,2063,4414,10437,8086,71689
0.7318,86.28571428571428,57,25000,0.61112,1844,4861,10656,7639,84941
0.72428,100.5,57,25000,0.58376,1690,5203,10810,7297,98455
0.54352,114.71428571428571,57,25000,0.97808,11138,274,1362,12226,34903
0.71076,128.92857142857142,57,25000,0.54456,1538,5693,10962,6807,125436
0.53336,143.14285714285714,57,25000,0.9844,11471,195,1029,12305,43600
0.5306,157.35714285714286,57,25000,0.98624,11563,172,937,12328,47673
0.52904,171.57142857142856,57,25000,0.98616,11601,173,899,12327,51844
0.5264,185.78571428571428,57,25000,0.98728,11681,159,819,12341,55788
0.76484,15.214285714285714,64,25000,0.76376,2926,2953,9574,9547,17202
0.65176,29.428571428571427,64,25000,0.92208,7732,974,4768,11526,9463
0.74908,43.64285714285714,64,25000,0.69456,2455,3818,10045,8682,44026
0.7492,57.857142857142854,64,25000,0.67488,2206,4064,10294,8436,57305
0.74124,72.07142857142857,64,25000,0.64552,2038,4431,10462,8069,71638
0.73396,86.28571428571428,64,25000,0.6112,1791,4860,10709,7640,86378
0.72596,100.5,64,25000,0.58304,1639,5212,10861,7288,98729
