accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,tiempo
0.5599,1,8,10000,0.569869,2234,2167,2728,2871,1379
0.7359,2,8,10000,0.746923,1366,1275,3596,3763,1929
0.7381,3,8,10000,0.740175,1310,1309,3652,3729,2946
0.7431,4,8,10000,0.743152,1275,1294,3687,3744,3603
0.7474,5,8,10000,0.753077,1282,1244,3680,3794,4399
0.7382,6,8,10000,0.746526,1341,1277,3621,3761,5127
0.7472,7,8,10000,0.756848,1303,1225,3659,3813,5833
0.7426,8,8,10000,0.747916,1304,1270,3658,3768,6630
0.7388,9,8,10000,0.750099,1353,1259,3609,3779,8048
0.7416,10,8,10000,0.756451,1357,1227,3605,3811,8515
0.7411,11,8,10000,0.758634,1373,1216,3589,3822,9369
0.7542,12,8,10000,0.766177,1280,1178,3682,3860,10387
0.7489,13,8,10000,0.759627,1300,1211,3662,3827,10899
0.7465,14,8,10000,0.759627,1324,1211,3638,3827,11742
0.7518,15,8,10000,0.757443,1260,1222,3702,3816,12443
0.7493,16,8,10000,0.760818,1302,1205,3660,3833,13281
0.5669,1,15,10000,0.571655,2173,2158,2789,2880,1671
0.7481,2,15,10000,0.765979,1340,1179,3622,3859,2473
0.7492,3,15,10000,0.753871,1268,1240,3694,3798,3207
0.7523,4,15,10000,0.757443,1255,1222,3707,3816,3992
0.7567,5,15,10000,0.767963,1264,1169,3698,3869,4769
0.7528,6,15,10000,0.767963,1303,1169,3659,3869,5635
0.7557,7,15,10000,0.774911,1309,1134,3653,3904,6349
0.7496,8,15,10000,0.769353,1342,1162,3620,3876,7061
0.7517,9,15,10000,0.775705,1353,1130,3609,3908,8506
0.7525,10,15,10000,0.779277,1363,1112,3599,3926,9060
0.7516,11,15,10000,0.775705,1354,1130,3608,3908,9831
0.7624,12,15,10000,0.780667,1271,1105,3691,3933,10732
0.7627,13,15,10000,0.779674,1263,1110,3699,3928,11347
0.7606,14,15,10000,0.778881,1280,1114,3682,3924,12170
0.7666,15,15,10000,0.782255,1237,1097,3725,3941,12906
0.758,16,15,10000,0.772926,1276,1144,3686,3894,13707
0.5707,1,22,10000,0.57761,2165,2128,2797,2910,1692
0.7544,2,22,10000,0.775705,1326,1130,3636,3908,2463
0.7546,3,22,10000,0.757642,1233,1221,3729,3817,3230
0.7539,4,22,10000,0.765979,1282,1179,3680,3859,3995
0.7598,5,22,10000,0.776697,1277,1125,3685,3913,4796
0.7534,6,22,10000,0.76975,1306,1160,3656,3878,5557
0.759,7,22,10000,0.783644,1320,1090,3642,3948,6396
0.7578,8,22,10000,0.776697,1297,1125,3665,3913,7118
0.7573,9,22,10000,0.782255,1330,1097,3632,3941,8566
0.7585,10,22,10000,0.789401,1354,1061,3608,3977,9053
0.755,11,22,10000,0.787019,1377,1073,3585,3965,9860
0.767,12,22,10000,0.79079,1276,1054,3686,3984,10592
0.7645,13,22,10000,0.784835,1271,1084,3691,3954,11356
0.7627,14,22,10000,0.785232,1291,1082,3671,3956,12187
0.7682,15,22,10000,0.787217,1246,1072,3716,3966,12870
0.7587,16,22,10000,0.772132,1265,1148,3697,3890,13786
0.5733,1,29,10000,0.582771,2165,2102,2797,2936,1711
0.7581,2,29,10000,0.778881,1305,1114,3657,3924,2493
0.7566,3,29,10000,0.762009,1235,1199,3727,3839,3230
0.7593,4,29,10000,0.776102,1279,1128,3683,3910,4005
0.7595,5,29,10000,0.778087,1287,1118,3675,3920,4839
0.755,6,29,10000,0.774514,1314,1136,3648,3902,5560
0.7599,7,29,10000,0.788805,1337,1064,3625,3974,6395
0.759,8,29,10000,0.779674,1300,1110,3662,3928,7191
0.7577,9,29,10000,0.790592,1368,1055,3594,3983,8462
0.7576,10,29,10000,0.790592,1369,1055,3593,3983,9168
0.7556,11,29,10000,0.792775,1400,1044,3562,3994,9825
0.7693,12,29,10000,0.798333,1291,1016,3671,4022,11570
0.7676,13,29,10000,0.790592,1269,1055,3693,3983,12080
0.7637,14,29,10000,0.786622,1288,1075,3674,3963,13405
0.7695,15,29,10000,0.791782,1256,1049,3706,3989,14400
0.7628,16,29,10000,0.778881,1258,1114,3704,3924,13931
0.5754,1,36,10000,0.587932,2170,2076,2792,2962,1712
0.7588,2,36,10000,0.778682,1297,1115,3665,3923,2515
0.7584,3,36,10000,0.763001,1222,1194,3740,3844,3229
0.7591,4,36,10000,0.776499,1283,1126,3679,3912,4022
0.7619,5,36,10000,0.783049,1288,1093,3674,3945,4834
0.7575,6,36,10000,0.778484,1309,1116,3653,3922,5511
0.7623,7,36,10000,0.790195,1320,1057,3642,3981,6353
0.7607,8,36,10000,0.784835,1309,1084,3653,3954,7056
0.7602,9,36,10000,0.79079,1344,1054,3618,3984,8392
0.7554,10,36,10000,0.788011,1378,1068,3584,3970,9003
0.7558,11,36,10000,0.795752,1413,1029,3549,4009,10681
0.7704,12,36,10000,0.799921,1288,1008,3674,4030,11538
0.7664,13,36,10000,0.791187,1284,1052,3678,3986,11453
0.7622,14,36,10000,0.787416,1307,1071,3655,3967,12658
0.7721,15,36,10000,0.796546,1254,1025,3708,4013,14202
0.766,16,36,10000,0.785034,1257,1083,3705,3955,15005
0.5745,1,43,10000,0.585351,2166,2089,2796,2949,2042
0.7591,2,43,10000,0.777094,1286,1123,3676,3915,2575
0.7582,3,43,10000,0.767963,1249,1169,3713,3869,3279
0.758,4,43,10000,0.777491,1299,1121,3663,3917,4063
0.7587,5,43,10000,0.782056,1315,1098,3647,3940,4834
0.7592,6,43,10000,0.781858,1309,1099,3653,3939,6000
0.7603,7,43,10000,0.791981,1349,1048,3613,3990,6474
0.7607,8,43,10000,0.789004,1330,1063,3632,3975,8670
0.7579,9,43,10000,0.790195,1364,1057,3598,3981,11990
0.7561,10,43,10000,0.791385,1388,1051,3574,3987,12516
0.7536,11,43,10000,0.794363,1428,1036,3534,4002,10314
0.7683,12,43,10000,0.797936,1299,1018,3663,4020,13038
0.7663,13,43,10000,0.791584,1287,1050,3675,3988,11865
0.7634,14,43,10000,0.788805,1302,1064,3660,3974,13587
0.7713,15,43,10000,0.798531,1272,1015,3690,4023,14654
0.769,16,43,10000,0.79079,1256,1054,3706,3984,13757
0.579,1,50,10000,0.589321,2141,2069,2821,2969,1776
0.7597,2,50,10000,0.779277,1291,1112,3671,3926,2946
0.7585,3,50,10000,0.769154,1252,1163,3710,3875,3863
0.7572,4,50,10000,0.777293,1306,1122,3656,3916,4697
0.7604,5,50,10000,0.78285,1302,1094,3660,3944,5235
0.7599,6,50,10000,0.782652,1306,1095,3656,3943,6322
0.7627,7,50,10000,0.793569,1333,1040,3629,3998,7142
0.7603,8,50,10000,0.787019,1324,1073,3638,3965,8362
0.758,9,50,10000,0.791187,1368,1052,3594,3986,11457
0.7577,10,50,10000,0.794561,1388,1035,3574,4003,11104
0.7527,11,50,10000,0.797142,1451,1022,3511,4016,9853
0.7683,12,50,10000,0.799524,1307,1010,3655,4028,11965
0.7656,13,50,10000,0.789599,1284,1060,3678,3978,12466
0.7643,14,50,10000,0.79079,1303,1054,3659,3984,12898
0.7707,15,50,10000,0.797936,1275,1018,3687,4020,12906
0.7676,16,50,10000,0.789996,1266,1058,3696,3980,13718
0.5774,1,57,10000,0.58158,2118,2108,2844,2930,1820
0.7608,2,57,10000,0.779277,1280,1112,3682,3926,2889
0.7588,3,57,10000,0.769154,1249,1163,3713,3875,3621
0.7574,4,57,10000,0.780865,1322,1104,3640,3934,4544
0.7614,5,57,10000,0.784835,1302,1084,3660,3954,5306
0.7602,6,57,10000,0.785828,1319,1079,3643,3959,6631
0.7632,7,57,10000,0.793569,1328,1040,3634,3998,6493
0.763,8,57,10000,0.789798,1311,1059,3651,3979,8253
0.756,9,57,10000,0.790393,1384,1056,3578,3982,8846
0.7558,10,57,10000,0.792576,1397,1045,3565,3993,11095
0.754,11,57,10000,0.796943,1437,1023,3525,4015,13673
0.7673,12,57,10000,0.802303,1331,996,3631,4042,14127
0.7644,13,57,10000,0.788805,1292,1064,3670,3974,16054
0.7665,14,57,10000,0.79337,1294,1041,3668,3997,16745
0.7707,15,57,10000,0.796149,1266,1027,3696,4011,19634
0.7704,16,57,10000,0.795554,1266,1030,3696,4008,16490
0.5781,1,64,10000,0.586939,2138,2081,2824,2957,1798
0.7609,2,64,10000,0.780667,1286,1105,3676,3933,2598
0.7588,3,64,10000,0.769353,1250,1162,3712,3876,3357
0.757,4,64,10000,0.781659,1330,1100,3632,3938,4194
0.7599,5,64,10000,0.784041,1313,1088,3649,3950,4922
0.7595,6,64,10000,0.785828,1326,1079,3636,3959,5667
0.7632,7,64,10000,0.794363,1332,1036,3630,4002,6538
0.763,8,64,10000,0.788408,1304,1066,3658,3972,7273
0.7574,9,64,10000,0.790592,1371,1055,3591,3983,8613
0.754,10,64,10000,0.790393,1404,1056,3558,3982,9170
0.7564,11,64,10000,0.800516,1431,1005,3531,4033,10130
0.7678,12,64,10000,0.800516,1317,1005,3645,4033,10725
0.7642,13,64,10000,0.791584,1308,1050,3654,3988,11471
0.7664,14,64,10000,0.79337,1295,1041,3667,3997,12234
0.7713,15,64,10000,0.798134,1270,1017,3692,4021,13113
0.7695,16,64,10000,0.793767,1266,1039,3696,3999,13855
0.5766,1,71,10000,0.586939,2153,2081,2809,2957,1838
0.7614,2,71,10000,0.781262,1284,1102,3678,3936,2595
0.759,3,71,10000,0.770742,1255,1155,3707,3883,3362
0.758,4,71,10000,0.786622,1345,1075,3617,3963,4131
0.7609,5,71,10000,0.785828,1312,1079,3650,3959,4907
0.7597,6,71,10000,0.785232,1321,1082,3641,3956,5726
0.7613,7,71,10000,0.79337,1346,1041,3616,3997,6450
0.7616,8,71,10000,0.790195,1327,1057,3635,3981,7254
0.7558,9,71,10000,0.790592,1387,1055,3575,3983,8600
0.7526,10,71,10000,0.791584,1424,1050,3538,3988,9141
0.7555,11,71,10000,0.800318,1439,1006,3523,4032,9959
0.7665,12,71,10000,0.799722,1326,1009,3636,4029,10845
0.7659,13,71,10000,0.792378,1295,1046,3667,3992,11545
0.7659,14,71,10000,0.793569,1301,1040,3661,3998,12394
0.7702,15,71,10000,0.799127,1286,1012,3676,4026,12985
0.769,16,71,10000,0.79476,1276,1034,3686,4004,13842
0.5783,1,78,10000,0.588329,2143,2074,2819,2964,1827
0.7594,2,78,10000,0.779476,1295,1111,3667,3927,2607
0.7596,3,78,10000,0.773323,1262,1142,3700,3896,3353
0.7565,4,78,10000,0.78682,1361,1074,3601,3964,4173
0.7613,5,78,10000,0.784835,1303,1084,3659,3954,4972
0.7611,6,78,10000,0.78682,1315,1074,3647,3964,5680
0.7634,7,78,10000,0.79476,1332,1034,3630,4004,6506
0.7608,8,78,10000,0.791187,1340,1052,3622,3986,7293
0.7566,9,78,10000,0.791385,1383,1051,3579,3987,8650
0.7536,10,78,10000,0.793966,1426,1038,3536,4000,9262
0.7553,11,78,10000,0.79873,1433,1014,3529,4024,10054
0.7674,12,78,10000,0.800715,1322,1004,3640,4034,10765
0.7669,13,78,10000,0.792973,1288,1043,3674,3995,11506
0.7659,14,78,10000,0.79079,1287,1054,3675,3984,12398
0.7701,15,78,10000,0.796149,1272,1027,3690,4011,13499
0.7718,16,78,10000,0.796745,1258,1024,3704,4014,13858
0.5767,1,85,10000,0.589321,2164,2069,2798,2969,1856
0.7588,2,85,10000,0.778682,1297,1115,3665,3923,2698
0.7592,3,85,10000,0.774514,1272,1136,3690,3902,3377
0.7552,4,85,10000,0.786423,1372,1076,3590,3962,4189
0.7579,5,85,10000,0.781659,1321,1100,3641,3938,4934
0.7595,6,85,10000,0.787019,1332,1073,3630,3965,5714
0.7639,7,85,10000,0.796149,1334,1027,3628,4011,6512
0.7619,8,85,10000,0.794958,1348,1033,3614,4005,7313
0.7555,9,85,10000,0.793767,1406,1039,3556,3999,8657
0.7532,10,85,10000,0.794561,1433,1035,3529,4003,9214
0.7549,11,85,10000,0.798134,1434,1017,3528,4021,10001
0.769,12,85,10000,0.802898,1317,993,3645,4045,10810
0.7669,13,85,10000,0.794164,1294,1037,3668,4001,11609
0.7661,14,85,10000,0.791584,1289,1050,3673,3988,12283
0.7702,15,85,10000,0.797142,1276,1022,3686,4016,12940
0.7669,16,85,10000,0.792378,1285,1046,3677,3992,14114
0.5766,1,92,10000,0.594085,2189,2045,2773,2993,1864
0.761,2,92,10000,0.780865,1286,1104,3676,3934,2782
0.76,3,92,10000,0.776102,1272,1128,3690,3910,3404
0.7553,4,92,10000,0.788011,1379,1068,3583,3970,4610
0.7594,5,92,10000,0.784835,1322,1084,3640,3954,5238
0.7595,6,92,10000,0.787813,1336,1069,3626,3969,6209
0.763,7,92,10000,0.795157,1338,1032,3624,4006,6480
0.7598,8,92,10000,0.79079,1348,1054,3614,3984,7274
0.7557,9,92,10000,0.792576,1398,1045,3564,3993,8695
0.7556,10,92,10000,0.794958,1411,1033,3551,4005,9183
0.755,11,92,10000,0.797539,1430,1020,3532,4018,9928
0.7685,12,92,10000,0.802501,1320,995,3642,4043,10665
0.7672,13,92,10000,0.794363,1292,1036,3670,4002,11467
0.7644,14,92,10000,0.791584,1306,1050,3656,3988,12392
0.7707,15,92,10000,0.79734,1272,1021,3690,4017,13051
0.7688,16,92,10000,0.793172,1270,1042,3692,3996,13726
