accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,tiempo
0.7487,15,8,10000,0.764391,1326,1187,3636,3851,8339
0.735,29,8,10000,0.745137,1366,1284,3596,3754,15415
0.7224,43,8,10000,0.718142,1356,1420,3606,3618,22673
0.7141,57,8,10000,0.716554,1431,1428,3531,3610,29175
0.7101,72,8,10000,0.710798,1442,1457,3520,3581,36972
0.7092,86,8,10000,0.707424,1434,1474,3528,3564,44586
0.7037,100,8,10000,0.702461,1464,1499,3498,3539,50256
0.6951,114,8,10000,0.697499,1525,1524,3437,3514,57004
0.6951,128,8,10000,0.691544,1495,1554,3467,3484,63764
0.6875,143,8,10000,0.684796,1537,1588,3425,3450,71474
0.6874,157,8,10000,0.68678,1548,1578,3414,3460,78591
0.68,171,8,10000,0.682215,1599,1601,3363,3437,85473
0.6807,185,8,10000,0.686979,1616,1577,3346,3461,92073
0.762,15,15,10000,0.782652,1285,1095,3677,3943,8502
0.7506,29,15,10000,0.762406,1297,1197,3665,3841,15209
0.7394,43,15,10000,0.743351,1313,1293,3649,3745,22105
0.7334,57,15,10000,0.740373,1358,1308,3604,3730,28971
0.7303,72,15,10000,0.736403,1369,1328,3593,3710,36399
0.7202,86,15,10000,0.725685,1416,1382,3546,3656,43342
0.721,100,15,10000,0.725685,1408,1382,3554,3656,50080
0.7165,114,15,10000,0.716554,1407,1428,3555,3610,56931
0.7167,128,15,10000,0.71576,1401,1432,3561,3606,63750
0.7094,143,15,10000,0.702064,1405,1501,3557,3537,71215
0.7031,157,15,10000,0.698094,1448,1521,3514,3517,78175
0.707,171,15,10000,0.708416,1461,1469,3501,3569,84813
0.7086,185,15,10000,0.718936,1498,1416,3464,3622,92261
0.7626,15,22,10000,0.787813,1305,1069,3657,3969,8377
0.7534,29,22,10000,0.76975,1306,1160,3656,3878,15206
0.7497,43,22,10000,0.75784,1283,1220,3679,3818,22126
0.7404,57,22,10000,0.750695,1340,1256,3622,3782,29158
0.7393,72,22,10000,0.746328,1329,1278,3633,3760,36417
0.7364,86,22,10000,0.74474,1350,1286,3612,3752,43271
0.7294,100,22,10000,0.73283,1360,1346,3602,3692,50257
0.7291,114,22,10000,0.73164,1357,1352,3605,3686,56718
0.7266,128,22,10000,0.725685,1352,1382,3610,3656,63971
0.719,143,22,10000,0.710202,1350,1460,3612,3578,71142
0.7173,157,22,10000,0.717348,1403,1424,3559,3614,78060
0.7156,171,22,10000,0.721119,1439,1405,3523,3633,85033
0.718,185,22,10000,0.726677,1443,1377,3519,3661,92115
0.7646,15,29,10000,0.792973,1311,1043,3651,3995,8371
0.7554,29,29,10000,0.772132,1298,1148,3664,3890,15246
0.7475,43,29,10000,0.761016,1321,1204,3641,3834,22154
0.7384,57,29,10000,0.750099,1357,1259,3605,3779,29055
0.7438,72,29,10000,0.747916,1292,1270,3670,3768,36573
0.7396,86,29,10000,0.74732,1331,1273,3631,3765,43377
0.7362,100,29,10000,0.741366,1335,1303,3627,3735,50016
0.7371,114,29,10000,0.741366,1326,1303,3636,3735,57098
0.7281,128,29,10000,0.724295,1330,1389,3632,3649,63768
0.7246,143,29,10000,0.717547,1331,1423,3631,3615,71141
0.7256,157,29,10000,0.734815,1408,1336,3554,3702,77987
0.7258,171,29,10000,0.730846,1386,1356,3576,3682,84877
0.7202,185,29,10000,0.730449,1440,1358,3522,3680,91903
0.7624,15,36,10000,0.78821,1309,1067,3653,3971,8402
0.7573,29,36,10000,0.775705,1297,1130,3665,3908,15225
0.7486,43,36,10000,0.758833,1299,1215,3663,3823,22318
0.7454,57,36,10000,0.757443,1324,1222,3638,3816,29051
0.7447,72,36,10000,0.753672,1312,1241,3650,3797,36427
0.7397,86,36,10000,0.745335,1320,1283,3642,3755,43421
0.7422,100,36,10000,0.749504,1316,1262,3646,3776,50147
0.7373,114,36,10000,0.738984,1312,1315,3650,3723,57091
0.7363,128,36,10000,0.733624,1295,1342,3667,3696,64006
0.7312,143,36,10000,0.726479,1310,1378,3652,3660,71170
0.731,157,36,10000,0.734815,1354,1336,3608,3702,77965
0.7302,171,36,10000,0.734418,1360,1338,3602,3700,85317
0.7263,185,36,10000,0.738785,1421,1316,3541,3722,91986
0.7641,15,43,10000,0.793569,1319,1040,3643,3998,8404
0.7573,29,43,10000,0.777888,1308,1119,3654,3919,15259
0.7517,43,43,10000,0.763597,1292,1191,3670,3847,22175
0.7476,57,43,10000,0.762803,1329,1195,3633,3843,29154
0.7479,72,43,10000,0.758436,1304,1217,3658,3821,36450
0.7422,86,43,10000,0.751489,1326,1252,3636,3786,43299
0.7425,100,43,10000,0.749504,1313,1262,3649,3776,50324
0.7407,114,43,10000,0.739579,1281,1312,3681,3726,56898
0.7394,128,43,10000,0.736403,1278,1328,3684,3710,63858
0.7346,143,43,10000,0.73283,1308,1346,3654,3692,71268
0.7324,157,43,10000,0.740175,1367,1309,3595,3729,78186
0.7328,171,43,10000,0.736602,1345,1327,3617,3711,85015
0.7314,185,43,10000,0.750496,1429,1257,3533,3781,91918
0.7658,15,50,10000,0.795157,1310,1032,3652,4006,8410
0.7581,29,50,10000,0.780667,1314,1105,3648,3933,15276
0.7547,43,50,10000,0.769353,1291,1162,3671,3876,22173
0.7489,57,50,10000,0.763795,1321,1190,3641,3848,29067
0.7496,72,50,10000,0.760222,1296,1208,3666,3830,36501
0.7431,86,50,10000,0.748114,1300,1269,3662,3769,43390
0.7461,100,50,10000,0.750695,1283,1256,3679,3782,50138
0.7432,114,50,10000,0.74216,1269,1299,3693,3739,57038
0.74,128,50,10000,0.739182,1286,1314,3676,3724,63976
0.7383,143,50,10000,0.732632,1270,1347,3692,3691,71312
0.7375,157,50,10000,0.744938,1340,1285,3622,3753,78257
0.7365,171,50,10000,0.744541,1348,1287,3614,3751,85022
0.7319,185,50,10000,0.75268,1435,1246,3527,3792,92101
0.7658,15,57,10000,0.795752,1313,1029,3649,4009,8435
0.7588,29,57,10000,0.779079,1299,1113,3663,3925,15293
0.7557,43,57,10000,0.770147,1285,1158,3677,3880,22346
0.7487,57,57,10000,0.764788,1328,1185,3634,3853,29180
0.7478,72,57,10000,0.761016,1318,1204,3644,3834,36483
0.7425,86,57,10000,0.748114,1306,1269,3656,3769,43295
0.7488,100,57,10000,0.754069,1273,1239,3689,3799,50319
0.7424,114,57,10000,0.742358,1278,1298,3684,3740,56911
0.7405,128,57,10000,0.74216,1296,1299,3666,3739,64065
0.7422,143,57,10000,0.740969,1273,1305,3689,3733,71390
0.7395,157,57,10000,0.748511,1338,1267,3624,3771,78098
0.7392,171,57,10000,0.746923,1333,1275,3629,3763,85143
0.7304,185,57,10000,0.751489,1444,1252,3518,3786,92047
0.7658,15,64,10000,0.794164,1305,1037,3657,4001,8448
0.7585,29,64,10000,0.778285,1298,1117,3664,3921,15280
0.7554,43,64,10000,0.768757,1281,1165,3681,3873,22199
0.7527,57,64,10000,0.768956,1309,1164,3653,3874,29111
0.7476,72,64,10000,0.760619,1318,1206,3644,3832,36625
0.7457,86,64,10000,0.750496,1286,1257,3676,3781,43368
0.749,100,64,10000,0.754665,1274,1236,3688,3802,50201
0.7447,114,64,10000,0.745931,1273,1280,3689,3758,57102
0.7413,128,64,10000,0.740175,1278,1309,3684,3729,63927
0.7391,143,64,10000,0.74077,1303,1306,3659,3732,71306
0.7402,157,64,10000,0.748908,1333,1265,3629,3773,78404
0.74,171,64,10000,0.749504,1338,1262,3624,3776,85184
0.7335,185,64,10000,0.756252,1437,1228,3525,3810,91996
0.7655,15,71,10000,0.794363,1309,1036,3653,4002,8447
0.7595,29,71,10000,0.778087,1287,1118,3675,3920,15516
0.757,43,71,10000,0.77233,1283,1147,3679,3891,22258
0.7529,57,71,10000,0.770544,1315,1156,3647,3882,29134
0.7495,72,71,10000,0.764589,1319,1186,3643,3852,36602
0.7462,86,71,10000,0.755062,1304,1234,3658,3804,43455
0.7501,100,71,10000,0.758039,1280,1219,3682,3819,50057
0.7447,114,71,10000,0.744541,1266,1287,3696,3751,57140
0.7428,128,71,10000,0.743946,1282,1290,3680,3748,63993
0.7406,143,71,10000,0.739381,1281,1313,3681,3725,71463
0.7407,157,71,10000,0.747122,1319,1274,3643,3764,78203
0.7414,171,71,10000,0.755657,1355,1231,3607,3807,85237
0.735,185,71,10000,0.760222,1442,1208,3520,3830,92126
0.7675,15,78,10000,0.795951,1297,1028,3665,4010,8472
0.7597,29,78,10000,0.78027,1296,1107,3666,3931,15317
0.7576,43,78,10000,0.773323,1282,1142,3680,3896,22240
0.7542,57,78,10000,0.77233,1311,1147,3651,3891,29375
0.7513,72,78,10000,0.764986,1303,1184,3659,3854,36570
0.7474,86,78,10000,0.753275,1283,1243,3679,3795,43360
0.7492,100,78,10000,0.756451,1281,1227,3681,3811,50431
0.7482,114,78,10000,0.753275,1275,1243,3687,3795,57088
0.7478,128,78,10000,0.748313,1254,1268,3708,3770,64095
0.7428,143,78,10000,0.742954,1277,1295,3685,3743,71330
0.7458,157,78,10000,0.756054,1313,1229,3649,3809,78247
0.7409,171,78,10000,0.758436,1374,1217,3588,3821,85206
0.7365,185,78,10000,0.764986,1451,1184,3511,3854,92315
0.7664,15,85,10000,0.795355,1305,1031,3657,4007,8472
0.7601,29,85,10000,0.780468,1293,1106,3669,3932,15334
0.7565,43,85,10000,0.773323,1293,1142,3669,3896,22271
0.7532,57,85,10000,0.770941,1314,1154,3648,3884,29159
0.7489,72,85,10000,0.765582,1330,1181,3632,3857,36641
0.747,86,85,10000,0.756252,1302,1228,3660,3810,43517
0.7498,100,85,10000,0.756252,1274,1228,3688,3810,50290
0.7465,114,85,10000,0.749901,1275,1260,3687,3778,57252
0.7471,128,85,10000,0.750695,1273,1256,3689,3782,63967
0.7445,143,85,10000,0.747519,1283,1272,3679,3766,71415
0.7454,157,85,10000,0.759031,1332,1214,3630,3824,78441
0.7422,171,85,10000,0.763001,1384,1194,3578,3844,84965
0.7361,185,85,10000,0.766574,1463,1176,3499,3862,92173
0.7663,15,92,10000,0.79476,1303,1034,3659,4004,8462
0.7569,29,92,10000,0.776697,1306,1125,3656,3913,15347
0.7607,43,92,10000,0.776697,1268,1125,3694,3913,22393
0.7532,57,92,10000,0.769551,1307,1161,3655,3877,29181
0.7516,72,92,10000,0.76717,1311,1173,3651,3865,36649
0.7489,86,92,10000,0.75923,1298,1213,3664,3825,43600
0.7492,100,92,10000,0.758039,1289,1219,3673,3819,50381
0.7495,114,92,10000,0.753672,1264,1241,3698,3797,57167
0.7465,128,92,10000,0.750893,1280,1255,3682,3783,63912
0.7461,143,92,10000,0.751886,1289,1250,3673,3788,71373
0.747,157,92,10000,0.763795,1340,1190,3622,3848,78146
0.7412,171,92,10000,0.765383,1406,1182,3556,3856,85266
0.7402,185,92,10000,0.770941,1444,1154,3518,3884,92146
