accuracy,training entries,tiempo,recall
0.5805,2231.1111111111113,15.309136390686035,0.410623
0.5375,4452.222222222223,29.53850817680359,0.3524
0.5375,6673.333333333334,41.084978103637695,0.377937
0.5435,8894.444444444445,43.00401329994202,0.367722
0.5735,11115.555555555557,54.8596727848053,0.560776
0.5485,13336.666666666668,77.00890564918518,0.391216
0.5485,15557.77777777778,97.9527497291565,0.38713
0.5535,17778.88888888889,96.17008543014526,0.396323
