accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,tiempo
0.565,20,6,200,0.408602,32,55,75,38,10.752778768539429
0.575,30,6,200,0.451613,34,51,73,42,14.308021306991577
0.565,40,6,200,0.354839,27,60,80,33,17.84169626235962
0.6,20,11,200,0.354839,20,60,87,33,10.737310647964478
0.6,30,11,200,0.419355,26,54,81,39,14.194781303405762
0.585,40,11,200,0.311828,19,64,88,29,17.931580305099487
0.64,20,17,200,0.387097,15,57,92,36,10.67624545097351
0.64,30,17,200,0.354839,12,60,95,33,14.286428689956665
0.575,40,17,200,0.215054,12,73,95,20,17.90023112297058
0.615,20,22,200,0.333333,15,62,92,31,10.71321988105774
0.61,30,22,200,0.333333,16,62,91,31,14.234988927841187
0.55,40,22,200,0.204301,16,74,91,19,18.01131319999695
0.625,20,28,200,0.322581,12,63,95,30,10.70949125289917
0.61,30,28,200,0.311828,14,64,93,29,14.176120519638062
0.605,40,28,200,0.236559,8,71,99,22,17.978967428207397
0.63,20,33,200,0.301075,9,65,98,28,10.71654200553894
0.59,30,33,200,0.268817,14,68,93,25,14.289952993392944
0.59,40,33,200,0.204301,8,74,99,19,17.89777445793152
0.605,20,39,200,0.258065,10,69,97,24,10.774898290634155
0.58,30,39,200,0.225806,12,72,95,21,14.253225803375244
0.605,40,39,200,0.204301,5,74,102,19,18.000418663024902
0.62,20,44,200,0.27957,9,67,98,26,12.353381872177124
0.595,30,44,200,0.204301,7,74,100,19,14.85304045677185
0.605,40,44,200,0.193548,4,75,103,18,18.455356121063232
