nombre,p,m,min_cant_nodos,max_cant_nodos,step_nodos,cant_nodos,nro_intento,cant_intentos,tiempo_ns
random-820-nodos-1,0.5,380,20,1000,10,820,1,5,16717679
random-270-nodos-0,0.5,380,20,1000,10,270,0,5,6248472
random-530-nodos-2,0.5,380,20,1000,10,530,2,5,11558913
random-50-nodos-4,0.5,380,20,1000,10,50,4,5,6522037
random-350-nodos-1,0.5,380,20,1000,10,350,1,5,8552572
random-320-nodos-2,0.5,380,20,1000,10,320,2,5,8761779
random-920-nodos-3,0.5,380,20,1000,10,920,3,5,19716751
random-860-nodos-2,0.5,380,20,1000,10,860,2,5,16526808
random-30-nodos-1,0.5,380,20,1000,10,30,1,5,4231212
random-560-nodos-3,0.5,380,20,1000,10,560,3,5,12549463
random-210-nodos-3,0.5,380,20,1000,10,210,3,5,7395044
random-660-nodos-0,0.5,380,20,1000,10,660,0,5,12012349
random-740-nodos-1,0.5,380,20,1000,10,740,1,5,14649518
random-680-nodos-3,0.5,380,20,1000,10,680,3,5,13219767
random-750-nodos-4,0.5,380,20,1000,10,750,4,5,14749445
random-590-nodos-4,0.5,380,20,1000,10,590,4,5,11906653
random-260-nodos-4,0.5,380,20,1000,10,260,4,5,5791287
random-430-nodos-1,0.5,380,20,1000,10,430,1,5,9016128
random-650-nodos-2,0.5,380,20,1000,10,650,2,5,11312265
random-470-nodos-4,0.5,380,20,1000,10,470,4,5,11377987
random-680-nodos-2,0.5,380,20,1000,10,680,2,5,14799045
random-820-nodos-2,0.5,380,20,1000,10,820,2,5,16177302
random-540-nodos-2,0.5,380,20,1000,10,540,2,5,9249803
random-130-nodos-2,0.5,380,20,1000,10,130,2,5,6779029
random-750-nodos-3,0.5,380,20,1000,10,750,3,5,13630940
random-500-nodos-3,0.5,380,20,1000,10,500,3,5,9396720
random-860-nodos-4,0.5,380,20,1000,10,860,4,5,18023357
random-820-nodos-4,0.5,380,20,1000,10,820,4,5,15134546
random-780-nodos-2,0.5,380,20,1000,10,780,2,5,17230911
random-550-nodos-4,0.5,380,20,1000,10,550,4,5,10005288
random-370-nodos-3,0.5,380,20,1000,10,370,3,5,8291439
random-40-nodos-4,0.5,380,20,1000,10,40,4,5,4739036
random-840-nodos-1,0.5,380,20,1000,10,840,1,5,20723568
random-220-nodos-3,0.5,380,20,1000,10,220,3,5,6126582
random-30-nodos-4,0.5,380,20,1000,10,30,4,5,4208245
random-410-nodos-0,0.5,380,20,1000,10,410,0,5,9722396
random-70-nodos-1,0.5,380,20,1000,10,70,1,5,6042514
random-60-nodos-0,0.5,380,20,1000,10,60,0,5,4972088
random-60-nodos-4,0.5,380,20,1000,10,60,4,5,4960297
random-710-nodos-2,0.5,380,20,1000,10,710,2,5,19006254
random-30-nodos-0,0.5,380,20,1000,10,30,0,5,4381784
random-310-nodos-1,0.5,380,20,1000,10,310,1,5,6373103
random-140-nodos-4,0.5,380,20,1000,10,140,4,5,7251738
random-380-nodos-2,0.5,380,20,1000,10,380,2,5,9061972
random-40-nodos-0,0.5,380,20,1000,10,40,0,5,5287349
random-300-nodos-2,0.5,380,20,1000,10,300,2,5,8366844
random-330-nodos-2,0.5,380,20,1000,10,330,2,5,10930211
random-80-nodos-1,0.5,380,20,1000,10,80,1,5,6393159
random-940-nodos-2,0.5,380,20,1000,10,940,2,5,23821562
random-680-nodos-0,0.5,380,20,1000,10,680,0,5,12071407
random-540-nodos-0,0.5,380,20,1000,10,540,0,5,10875499
random-700-nodos-2,0.5,380,20,1000,10,700,2,5,14810045
random-860-nodos-3,0.5,380,20,1000,10,860,3,5,16971777
random-120-nodos-1,0.5,380,20,1000,10,120,1,5,5823712
random-190-nodos-0,0.5,380,20,1000,10,190,0,5,6478932
random-240-nodos-3,0.5,380,20,1000,10,240,3,5,5754762
random-300-nodos-4,0.5,380,20,1000,10,300,4,5,7016798
random-390-nodos-4,0.5,380,20,1000,10,390,4,5,8848599
random-850-nodos-0,0.5,380,20,1000,10,850,0,5,16106359
random-200-nodos-2,0.5,380,20,1000,10,200,2,5,6487077
random-290-nodos-4,0.5,380,20,1000,10,290,4,5,6612146
random-900-nodos-1,0.5,380,20,1000,10,900,1,5,17981740
random-620-nodos-0,0.5,380,20,1000,10,620,0,5,10557191
random-780-nodos-0,0.5,380,20,1000,10,780,0,5,18240249
random-790-nodos-1,0.5,380,20,1000,10,790,1,5,15689884
random-400-nodos-3,0.5,380,20,1000,10,400,3,5,7893617
random-720-nodos-4,0.5,380,20,1000,10,720,4,5,13784516
random-410-nodos-1,0.5,380,20,1000,10,410,1,5,8181525
random-510-nodos-2,0.5,380,20,1000,10,510,2,5,10735977
random-100-nodos-1,0.5,380,20,1000,10,100,1,5,7554926
random-720-nodos-2,0.5,380,20,1000,10,720,2,5,14411253
random-330-nodos-1,0.5,380,20,1000,10,330,1,5,8435991
random-540-nodos-3,0.5,380,20,1000,10,540,3,5,12221640
random-580-nodos-3,0.5,380,20,1000,10,580,3,5,15288972
random-20-nodos-4,0.5,380,20,1000,10,20,4,5,4173639
random-660-nodos-2,0.5,380,20,1000,10,660,2,5,14040746
random-700-nodos-0,0.5,380,20,1000,10,700,0,5,14103743
random-640-nodos-2,0.5,380,20,1000,10,640,2,5,12178566
random-740-nodos-3,0.5,380,20,1000,10,740,3,5,16127654
random-960-nodos-3,0.5,380,20,1000,10,960,3,5,18301206
random-140-nodos-3,0.5,380,20,1000,10,140,3,5,5597147
random-540-nodos-1,0.5,380,20,1000,10,540,1,5,12196988
random-140-nodos-1,0.5,380,20,1000,10,140,1,5,6399972
random-150-nodos-0,0.5,380,20,1000,10,150,0,5,6556338
random-800-nodos-2,0.5,380,20,1000,10,800,2,5,20943274
random-480-nodos-2,0.5,380,20,1000,10,480,2,5,8326783
random-170-nodos-1,0.5,380,20,1000,10,170,1,5,5718620
random-200-nodos-1,0.5,380,20,1000,10,200,1,5,6006973
random-930-nodos-2,0.5,380,20,1000,10,930,2,5,21921548
random-570-nodos-4,0.5,380,20,1000,10,570,4,5,11459189
random-890-nodos-2,0.5,380,20,1000,10,890,2,5,22206597
random-290-nodos-3,0.5,380,20,1000,10,290,3,5,6357160
random-340-nodos-2,0.5,380,20,1000,10,340,2,5,6589125
random-870-nodos-1,0.5,380,20,1000,10,870,1,5,21766123
random-440-nodos-4,0.5,380,20,1000,10,440,4,5,7997855
random-420-nodos-2,0.5,380,20,1000,10,420,2,5,8955129
random-580-nodos-4,0.5,380,20,1000,10,580,4,5,12551348
random-970-nodos-1,0.5,380,20,1000,10,970,1,5,21006582
random-450-nodos-0,0.5,380,20,1000,10,450,0,5,8101466
random-250-nodos-3,0.5,380,20,1000,10,250,3,5,5842572
random-550-nodos-0,0.5,380,20,1000,10,550,0,5,9916749
random-980-nodos-2,0.5,380,20,1000,10,980,2,5,23643122
random-250-nodos-4,0.5,380,20,1000,10,250,4,5,6101434
random-140-nodos-0,0.5,380,20,1000,10,140,0,5,6586996
random-20-nodos-0,0.5,380,20,1000,10,20,0,5,4716727
random-70-nodos-0,0.5,380,20,1000,10,70,0,5,7083197
random-530-nodos-3,0.5,380,20,1000,10,530,3,5,15472688
random-320-nodos-3,0.5,380,20,1000,10,320,3,5,7329498
random-930-nodos-3,0.5,380,20,1000,10,930,3,5,21047287
random-890-nodos-4,0.5,380,20,1000,10,890,4,5,17978804
random-510-nodos-1,0.5,380,20,1000,10,510,1,5,9040029
random-430-nodos-0,0.5,380,20,1000,10,430,0,5,7599645
random-560-nodos-4,0.5,380,20,1000,10,560,4,5,12394948
random-200-nodos-3,0.5,380,20,1000,10,200,3,5,7316992
random-710-nodos-4,0.5,380,20,1000,10,710,4,5,13999348
random-100-nodos-0,0.5,380,20,1000,10,100,0,5,6405263
random-750-nodos-1,0.5,380,20,1000,10,750,1,5,15305789
random-720-nodos-1,0.5,380,20,1000,10,720,1,5,13440446
random-180-nodos-3,0.5,380,20,1000,10,180,3,5,6288075
random-730-nodos-4,0.5,380,20,1000,10,730,4,5,14183698
random-320-nodos-4,0.5,380,20,1000,10,320,4,5,7353316
random-490-nodos-3,0.5,380,20,1000,10,490,3,5,10940812
random-500-nodos-0,0.5,380,20,1000,10,500,0,5,9803758
random-210-nodos-0,0.5,380,20,1000,10,210,0,5,5793529
random-390-nodos-1,0.5,380,20,1000,10,390,1,5,7467697
random-560-nodos-1,0.5,380,20,1000,10,560,1,5,13944492
random-970-nodos-4,0.5,380,20,1000,10,970,4,5,20262237
random-380-nodos-0,0.5,380,20,1000,10,380,0,5,7373623
random-870-nodos-2,0.5,380,20,1000,10,870,2,5,21135353
random-970-nodos-2,0.5,380,20,1000,10,970,2,5,18577747
random-130-nodos-1,0.5,380,20,1000,10,130,1,5,5702340
random-670-nodos-3,0.5,380,20,1000,10,670,3,5,12820616
random-940-nodos-3,0.5,380,20,1000,10,940,3,5,19803422
random-90-nodos-0,0.5,380,20,1000,10,90,0,5,5611280
random-380-nodos-1,0.5,380,20,1000,10,380,1,5,7617086
random-470-nodos-0,0.5,380,20,1000,10,470,0,5,11184626
random-120-nodos-3,0.5,380,20,1000,10,120,3,5,7148261
random-710-nodos-3,0.5,380,20,1000,10,710,3,5,12647446
random-280-nodos-2,0.5,380,20,1000,10,280,2,5,8993633
random-420-nodos-3,0.5,380,20,1000,10,420,3,5,7797792
random-690-nodos-1,0.5,380,20,1000,10,690,1,5,14270691
random-820-nodos-0,0.5,380,20,1000,10,820,0,5,15968856
random-890-nodos-1,0.5,380,20,1000,10,890,1,5,17755964
random-70-nodos-3,0.5,380,20,1000,10,70,3,5,5304354
random-30-nodos-2,0.5,380,20,1000,10,30,2,5,4092067
random-470-nodos-2,0.5,380,20,1000,10,470,2,5,8754056
random-400-nodos-2,0.5,380,20,1000,10,400,2,5,9170821
random-100-nodos-3,0.5,380,20,1000,10,100,3,5,7320174
random-580-nodos-0,0.5,380,20,1000,10,580,0,5,12401296
random-180-nodos-0,0.5,380,20,1000,10,180,0,5,5597834
random-840-nodos-2,0.5,380,20,1000,10,840,2,5,20293979
random-60-nodos-3,0.5,380,20,1000,10,60,3,5,4785794
random-210-nodos-4,0.5,380,20,1000,10,210,4,5,6044079
random-50-nodos-2,0.5,380,20,1000,10,50,2,5,5715821
random-680-nodos-1,0.5,380,20,1000,10,680,1,5,17014945
random-640-nodos-1,0.5,380,20,1000,10,640,1,5,12129585
random-420-nodos-0,0.5,380,20,1000,10,420,0,5,8151563
random-770-nodos-0,0.5,380,20,1000,10,770,0,5,15220843
random-620-nodos-3,0.5,380,20,1000,10,620,3,5,11725499
random-130-nodos-4,0.5,380,20,1000,10,130,4,5,6700024
random-960-nodos-1,0.5,380,20,1000,10,960,1,5,18665230
random-230-nodos-1,0.5,380,20,1000,10,230,1,5,6065937
random-180-nodos-1,0.5,380,20,1000,10,180,1,5,5725203
random-90-nodos-1,0.5,380,20,1000,10,90,1,5,6903813
random-240-nodos-2,0.5,380,20,1000,10,240,2,5,7589888
random-360-nodos-1,0.5,380,20,1000,10,360,1,5,10668606
random-450-nodos-3,0.5,380,20,1000,10,450,3,5,8770528
random-280-nodos-0,0.5,380,20,1000,10,280,0,5,7297947
