nombre,n,p,p_densidad,cant_densidades,nro_intento,cant_intentos,val
random-0.09999999999999999-pdens-0,200,0.10555555555555556,0.09999999999999999,20,0,1,1.4877e-13
random-0.09999999999999999-pdens-0,200,0.2111111111111111,0.09999999999999999,20,0,1,1.39666e-13
random-0.09999999999999999-pdens-0,200,0.31666666666666665,0.09999999999999999,20,0,1,1.56986e-13
random-0.09999999999999999-pdens-0,200,0.4222222222222222,0.09999999999999999,20,0,1,1.5643e-13
random-0.09999999999999999-pdens-0,200,0.5277777777777778,0.09999999999999999,20,0,1,1.76859e-13
random-0.09999999999999999-pdens-0,200,0.6333333333333333,0.09999999999999999,20,0,1,2.22933e-13
random-0.09999999999999999-pdens-0,200,0.7388888888888889,0.09999999999999999,20,0,1,2.93543e-13
random-0.09999999999999999-pdens-0,200,0.8444444444444444,0.09999999999999999,20,0,1,4.04454e-13
random-0.8999999999999999-pdens-0,200,0.10555555555555556,0.8999999999999999,20,0,1,2.81775e-13
random-0.8999999999999999-pdens-0,200,0.2111111111111111,0.8999999999999999,20,0,1,1.53988e-13
random-0.8999999999999999-pdens-0,200,0.31666666666666665,0.8999999999999999,20,0,1,1.92513e-13
random-0.8999999999999999-pdens-0,200,0.4222222222222222,0.8999999999999999,20,0,1,1.88072e-13
random-0.8999999999999999-pdens-0,200,0.5277777777777778,0.8999999999999999,20,0,1,2.75335e-13
random-0.8999999999999999-pdens-0,200,0.6333333333333333,0.8999999999999999,20,0,1,2.63012e-13
random-0.8999999999999999-pdens-0,200,0.7388888888888889,0.8999999999999999,20,0,1,3.86802e-13
random-0.8999999999999999-pdens-0,200,0.8444444444444444,0.8999999999999999,20,0,1,4.9627e-13
random-0.3-pdens-0,200,0.10555555555555556,0.3,20,0,1,1.55098e-13
random-0.3-pdens-0,200,0.2111111111111111,0.3,20,0,1,1.76525e-13
random-0.3-pdens-0,200,0.31666666666666665,0.3,20,0,1,1.57541e-13
random-0.3-pdens-0,200,0.4222222222222222,0.3,20,0,1,1.63203e-13
random-0.3-pdens-0,200,0.5277777777777778,0.3,20,0,1,1.81855e-13
random-0.3-pdens-0,200,0.6333333333333333,0.3,20,0,1,2.37699e-13
random-0.3-pdens-0,200,0.7388888888888889,0.3,20,0,1,3.11751e-13
random-0.3-pdens-0,200,0.8444444444444444,0.3,20,0,1,4.85501e-13
random-0.15-pdens-0,200,0.10555555555555556,0.15,20,0,1,1.52212e-13
random-0.15-pdens-0,200,0.2111111111111111,0.15,20,0,1,1.56875e-13
random-0.15-pdens-0,200,0.31666666666666665,0.15,20,0,1,1.50657e-13
random-0.15-pdens-0,200,0.4222222222222222,0.15,20,0,1,1.48215e-13
random-0.15-pdens-0,200,0.5277777777777778,0.15,20,0,1,1.74305e-13
random-0.15-pdens-0,200,0.6333333333333333,0.15,20,0,1,2.38365e-13
random-0.15-pdens-0,200,0.7388888888888889,0.15,20,0,1,2.97762e-13
random-0.15-pdens-0,200,0.8444444444444444,0.15,20,0,1,4.442e-13
random-0.24999999999999997-pdens-0,200,0.10555555555555556,0.24999999999999997,20,0,1,1.56652e-13
random-0.24999999999999997-pdens-0,200,0.2111111111111111,0.24999999999999997,20,0,1,1.5199e-13
random-0.24999999999999997-pdens-0,200,0.31666666666666665,0.24999999999999997,20,0,1,1.65645e-13
random-0.24999999999999997-pdens-0,200,0.4222222222222222,0.24999999999999997,20,0,1,1.76081e-13
random-0.24999999999999997-pdens-0,200,0.5277777777777778,0.24999999999999997,20,0,1,2.0417e-13
random-0.24999999999999997-pdens-0,200,0.6333333333333333,0.24999999999999997,20,0,1,2.37033e-13
random-0.24999999999999997-pdens-0,200,0.7388888888888889,0.24999999999999997,20,0,1,2.93543e-13
random-0.24999999999999997-pdens-0,200,0.8444444444444444,0.24999999999999997,20,0,1,5.03486e-13
random-0.7999999999999999-pdens-0,200,0.10555555555555556,0.7999999999999999,20,0,1,1.93512e-13
random-0.7999999999999999-pdens-0,200,0.2111111111111111,0.7999999999999999,20,0,1,1.71418e-13
random-0.7999999999999999-pdens-0,200,0.31666666666666665,0.7999999999999999,20,0,1,1.89182e-13
random-0.7999999999999999-pdens-0,200,0.4222222222222222,0.7999999999999999,20,0,1,1.92957e-13
random-0.7999999999999999-pdens-0,200,0.5277777777777778,0.7999999999999999,20,0,1,1.83076e-13
random-0.7999999999999999-pdens-0,200,0.6333333333333333,0.7999999999999999,20,0,1,2.68785e-13
random-0.7999999999999999-pdens-0,200,0.7388888888888889,0.7999999999999999,20,0,1,3.35731e-13
random-0.7999999999999999-pdens-0,200,0.8444444444444444,0.7999999999999999,20,0,1,5.98077e-13
random-0.0-pdens-0,200,0.10555555555555556,0.0,20,0,1,0.0
random-0.0-pdens-0,200,0.2111111111111111,0.0,20,0,1,0.0
random-0.0-pdens-0,200,0.31666666666666665,0.0,20,0,1,0.0
random-0.0-pdens-0,200,0.4222222222222222,0.0,20,0,1,0.0
random-0.0-pdens-0,200,0.5277777777777778,0.0,20,0,1,0.0
random-0.0-pdens-0,200,0.6333333333333333,0.0,20,0,1,0.0
random-0.0-pdens-0,200,0.7388888888888889,0.0,20,0,1,0.0
random-0.0-pdens-0,200,0.8444444444444444,0.0,20,0,1,0.0
random-0.44999999999999996-pdens-0,200,0.10555555555555556,0.44999999999999996,20,0,1,1.75859e-13
random-0.44999999999999996-pdens-0,200,0.2111111111111111,0.44999999999999996,20,0,1,1.80078e-13
random-0.44999999999999996-pdens-0,200,0.31666666666666665,0.44999999999999996,20,0,1,1.67089e-13
random-0.44999999999999996-pdens-0,200,0.4222222222222222,0.44999999999999996,20,0,1,1.78746e-13
random-0.44999999999999996-pdens-0,200,0.5277777777777778,0.44999999999999996,20,0,1,2.02838e-13
random-0.44999999999999996-pdens-0,200,0.6333333333333333,0.44999999999999996,20,0,1,2.54685e-13
random-0.44999999999999996-pdens-0,200,0.7388888888888889,0.44999999999999996,20,0,1,3.04312e-13
random-0.44999999999999996-pdens-0,200,0.8444444444444444,0.44999999999999996,20,0,1,5.27467e-13
random-0.19999999999999998-pdens-0,200,0.10555555555555556,0.19999999999999998,20,0,1,1.62204e-13
random-0.19999999999999998-pdens-0,200,0.2111111111111111,0.19999999999999998,20,0,1,1.49769e-13
random-0.19999999999999998-pdens-0,200,0.31666666666666665,0.19999999999999998,20,0,1,1.46216e-13
random-0.19999999999999998-pdens-0,200,0.4222222222222222,0.19999999999999998,20,0,1,1.73639e-13
random-0.19999999999999998-pdens-0,200,0.5277777777777778,0.19999999999999998,20,0,1,2.09721e-13
random-0.19999999999999998-pdens-0,200,0.6333333333333333,0.19999999999999998,20,0,1,2.39142e-13
random-0.19999999999999998-pdens-0,200,0.7388888888888889,0.19999999999999998,20,0,1,3.19522e-13
