nombre,n,p,p_densidad,cant_densidades,nro_intento,cant_intentos,val
random-0.7499999999999999-pdens-421-cant_nodos-1,421,0.5,0.7499999999999999,20,1,1,6.19726e-13
random-0.19999999999999998-pdens-301-cant_nodos-1,301,0.5,0.19999999999999998,20,1,1,3.26517e-13
random-0.5499999999999999-pdens-461-cant_nodos-1,461,0.5,0.5499999999999999,20,1,1,7.20313e-13
random-0.6-pdens-441-cant_nodos-1,441,0.5,0.6,20,1,1,6.49258e-13
random-0.24999999999999997-pdens-421-cant_nodos-1,421,0.5,0.24999999999999997,20,1,1,5.7121e-13
random-0.35-pdens-301-cant_nodos-1,301,0.5,0.35,20,1,1,3.4639e-13
random-0.15-pdens-421-cant_nodos-1,421,0.5,0.15,20,1,1,5.51892e-13
random-0.049999999999999996-pdens-201-cant_nodos-1,201,0.5,0.049999999999999996,20,1,1,1.54432e-13
random-0.0-pdens-101-cant_nodos-1,101,0.5,0.0,20,1,1,0.0
random-0.6499999999999999-pdens-421-cant_nodos-1,421,0.5,0.6499999999999999,20,1,1,5.65659e-13
random-0.49999999999999994-pdens-61-cant_nodos-1,61,0.5,0.49999999999999994,20,1,1,3.11973e-14
random-0.39999999999999997-pdens-481-cant_nodos-1,481,0.5,0.39999999999999997,20,1,1,6.81233e-13
random-0.8999999999999999-pdens-201-cant_nodos-1,201,0.5,0.8999999999999999,20,1,1,2.10609e-13
random-0.5499999999999999-pdens-421-cant_nodos-1,421,0.5,0.5499999999999999,20,1,1,6.08957e-13
random-0.7499999999999999-pdens-461-cant_nodos-1,461,0.5,0.7499999999999999,20,1,1,7.06324e-13
random-0.19999999999999998-pdens-341-cant_nodos-1,341,0.5,0.19999999999999998,20,1,1,3.84248e-13
random-0.6-pdens-61-cant_nodos-1,61,0.5,0.6,20,1,1,3.71925e-14
random-0.8999999999999999-pdens-241-cant_nodos-1,241,0.5,0.8999999999999999,20,1,1,2.51243e-13
random-0.7499999999999999-pdens-41-cant_nodos-1,41,0.5,0.7499999999999999,20,1,1,1.85407e-14
random-0.7999999999999999-pdens-481-cant_nodos-1,481,0.5,0.7999999999999999,20,1,1,9.04721e-13
random-0.6499999999999999-pdens-461-cant_nodos-1,461,0.5,0.6499999999999999,20,1,1,7.12097e-13
random-0.49999999999999994-pdens-21-cant_nodos-1,21,0.5,0.49999999999999994,20,1,1,7.32747e-15
random-0.049999999999999996-pdens-241-cant_nodos-1,241,0.5,0.049999999999999996,20,1,1,1.98841e-13
random-0.15-pdens-461-cant_nodos-1,461,0.5,0.15,20,1,1,6.54921e-13
random-0.0-pdens-141-cant_nodos-1,141,0.5,0.0,20,1,1,0.0
random-0.35-pdens-341-cant_nodos-1,341,0.5,0.35,20,1,1,4.00013e-13
random-0.24999999999999997-pdens-41-cant_nodos-1,41,0.5,0.24999999999999997,20,1,1,1.16573e-14
random-0.24999999999999997-pdens-461-cant_nodos-1,461,0.5,0.24999999999999997,20,1,1,6.4182e-13
random-0.6499999999999999-pdens-1-cant_nodos-1,1,0.5,0.6499999999999999,20,1,1,0.0
random-0.6-pdens-401-cant_nodos-1,401,0.5,0.6,20,1,1,5.80869e-13
random-0.5499999999999999-pdens-361-cant_nodos-1,361,0.5,0.5499999999999999,20,1,1,4.57634e-13
random-0.19999999999999998-pdens-401-cant_nodos-1,401,0.5,0.19999999999999998,20,1,1,4.8539e-13
random-0.7499999999999999-pdens-321-cant_nodos-1,321,0.5,0.7499999999999999,20,1,1,3.48832e-13
random-0.3-pdens-41-cant_nodos-1,41,0.5,0.3,20,1,1,1.84297e-14
random-0.85-pdens-241-cant_nodos-1,241,0.5,0.85,20,1,1,2.96763e-13
random-0.7999999999999999-pdens-121-cant_nodos-1,121,0.5,0.7999999999999999,20,1,1,8.50431e-14
random-0.35-pdens-81-cant_nodos-1,81,0.5,0.35,20,1,1,5.14033e-14
random-0.85-pdens-21-cant_nodos-1,21,0.5,0.85,20,1,1,7.77156e-15
random-0.39999999999999997-pdens-161-cant_nodos-1,161,0.5,0.39999999999999997,20,1,1,1.38112e-13
random-0.39999999999999997-pdens-381-cant_nodos-1,381,0.5,0.39999999999999997,20,1,1,5.13811e-13
random-0.6499999999999999-pdens-321-cant_nodos-1,321,0.5,0.6499999999999999,20,1,1,4.0945e-13
random-0.09999999999999999-pdens-281-cant_nodos-1,281,0.5,0.09999999999999999,20,1,1,2.81886e-13
random-0.95-pdens-81-cant_nodos-1,81,0.5,0.95,20,1,1,5.68434e-14
random-0.15-pdens-321-cant_nodos-1,321,0.5,0.15,20,1,1,3.66152e-13
random-0.35-pdens-401-cant_nodos-1,401,0.5,0.35,20,1,1,5.42677e-13
random-0.7-pdens-101-cant_nodos-1,101,0.5,0.7,20,1,1,7.81597e-14
random-0.7999999999999999-pdens-81-cant_nodos-1,81,0.5,0.7999999999999999,20,1,1,6.4504e-14
random-0.24999999999999997-pdens-321-cant_nodos-1,321,0.5,0.24999999999999997,20,1,1,3.60489e-13
random-0.5499999999999999-pdens-181-cant_nodos-1,181,0.5,0.5499999999999999,20,1,1,1.5643e-13
random-0.6-pdens-341-cant_nodos-1,341,0.5,0.6,20,1,1,4.4631e-13
random-0.39999999999999997-pdens-121-cant_nodos-1,121,0.5,0.39999999999999997,20,1,1,8.16014e-14
random-0.85-pdens-61-cant_nodos-1,61,0.5,0.85,20,1,1,3.24185e-14
random-0.15-pdens-181-cant_nodos-1,181,0.5,0.15,20,1,1,1.57097e-13
random-0.7999999999999999-pdens-161-cant_nodos-1,161,0.5,0.7999999999999999,20,1,1,1.46994e-13
random-0.6499999999999999-pdens-181-cant_nodos-1,181,0.5,0.6499999999999999,20,1,1,1.72862e-13
random-0.24999999999999997-pdens-181-cant_nodos-1,181,0.5,0.24999999999999997,20,1,1,1.58207e-13
random-0.85-pdens-201-cant_nodos-1,201,0.5,0.85,20,1,1,1.75415e-13
random-0.19999999999999998-pdens-441-cant_nodos-1,441,0.5,0.19999999999999998,20,1,1,5.80758e-13
random-0.7499999999999999-pdens-361-cant_nodos-1,361,0.5,0.7499999999999999,20,1,1,4.39648e-13
random-0.5499999999999999-pdens-321-cant_nodos-1,321,0.5,0.5499999999999999,20,1,1,3.76144e-13
random-0.6-pdens-301-cant_nodos-1,301,0.5,0.6,20,1,1,3.52607e-13
random-0.7499999999999999-pdens-181-cant_nodos-1,181,0.5,0.7499999999999999,20,1,1,1.78746e-13
random-0.24999999999999997-pdens-361-cant_nodos-1,361,0.5,0.24999999999999997,20,1,1,4.77729e-13
random-0.35-pdens-441-cant_nodos-1,441,0.5,0.35,20,1,1,6.02074e-13
random-0.09999999999999999-pdens-41-cant_nodos-1,41,0.5,0.09999999999999999,20,1,1,7.54952e-15
random-0.7-pdens-141-cant_nodos-1,141,0.5,0.7,20,1,1,1.0969e-13
random-0.15-pdens-361-cant_nodos-1,361,0.5,0.15,20,1,1,4.44644e-13
random-0.7999999999999999-pdens-381-cant_nodos-1,381,0.5,0.7999999999999999,20,1,1,5.57887e-13
random-0.6499999999999999-pdens-361-cant_nodos-1,361,0.5,0.6499999999999999,20,1,1,4.79172e-13
random-0.44999999999999996-pdens-281-cant_nodos-1,281,0.5,0.44999999999999996,20,1,1,3.04645e-13
random-0.5499999999999999-pdens-381-cant_nodos-1,381,0.5,0.5499999999999999,20,1,1,4.77174e-13
random-0.6-pdens-141-cant_nodos-1,141,0.5,0.6,20,1,1,1.16684e-13
random-0.7-pdens-301-cant_nodos-1,301,0.5,0.7,20,1,1,3.55382e-13
random-0.24999999999999997-pdens-121-cant_nodos-1,121,0.5,0.24999999999999997,20,1,1,8.26006e-14
random-0.6499999999999999-pdens-121-cant_nodos-1,121,0.5,0.6499999999999999,20,1,1,1.01141e-13
random-0.15-pdens-121-cant_nodos-1,121,0.5,0.15,20,1,1,8.08242e-14
random-0.0-pdens-401-cant_nodos-1,401,0.5,0.0,20,1,1,0.0
random-0.35-pdens-61-cant_nodos-1,61,0.5,0.35,20,1,1,3.06422e-14
random-0.39999999999999997-pdens-181-cant_nodos-1,181,0.5,0.39999999999999997,20,1,1,1.66422e-13
random-0.44999999999999996-pdens-221-cant_nodos-1,221,0.5,0.44999999999999996,20,1,1,2.43361e-13
random-0.39999999999999997-pdens-361-cant_nodos-1,361,0.5,0.39999999999999997,20,1,1,4.58078e-13
random-0.7999999999999999-pdens-321-cant_nodos-1,321,0.5,0.7999999999999999,20,1,1,3.51608e-13
random-0.09999999999999999-pdens-261-cant_nodos-1,261,0.5,0.09999999999999999,20,1,1,2.54019e-13
random-0.3-pdens-1-cant_nodos-1,1,0.5,0.3,20,1,1,0.0
random-0.95-pdens-61-cant_nodos-1,61,0.5,0.95,20,1,1,3.86358e-14
random-0.7999999999999999-pdens-61-cant_nodos-1,61,0.5,0.7999999999999999,20,1,1,4.58522e-14
random-0.5499999999999999-pdens-161-cant_nodos-1,161,0.5,0.5499999999999999,20,1,1,1.40443e-13
random-0.7499999999999999-pdens-121-cant_nodos-1,121,0.5,0.7499999999999999,20,1,1,1.00919e-13
random-0.85-pdens-81-cant_nodos-1,81,0.5,0.85,20,1,1,3.70814e-14
random-0.35-pdens-21-cant_nodos-1,21,0.5,0.35,20,1,1,4.10783e-15
random-0.15-pdens-161-cant_nodos-1,161,0.5,0.15,20,1,1,1.22347e-13
random-0.0-pdens-441-cant_nodos-1,441,0.5,0.0,20,1,1,0.0
random-0.6499999999999999-pdens-161-cant_nodos-1,161,0.5,0.6499999999999999,20,1,1,1.47105e-13
random-0.7999999999999999-pdens-181-cant_nodos-1,181,0.5,0.7999999999999999,20,1,1,1.51545e-13
random-0.24999999999999997-pdens-161-cant_nodos-1,161,0.5,0.24999999999999997,20,1,1,1.41442e-13
random-0.7-pdens-341-cant_nodos-1,341,0.5,0.7,20,1,1,3.97682e-13
random-0.7499999999999999-pdens-381-cant_nodos-1,381,0.5,0.7499999999999999,20,1,1,5.45008e-13
random-0.6-pdens-101-cant_nodos-1,101,0.5,0.6,20,1,1,8.03801e-14
