nombre_exp,nombre_img,n_cells,ray_type,ray_cnt,lsq,error,error_std,alpha,cache,tiempo_lsq_pre,tiempo_lsq,cant_autovalores,psnr
expVariandoCantRayos,tomo2,32,1,10100,0,0,1,0.0001,1,0,25782,881,14.840057281559208
expVariandoCantRayos,tomo2,32,1,11100,0,0,1,0.0001,1,742001,27219,873,14.779990487488279
expVariandoCantRayos,tomo2,32,1,11100,0,0,1,0.0001,1,0,28121,873,14.779988716489193
expVariandoCantRayos,tomo2,32,1,12100,0,0,1,0.0001,1,731038,30112,879,14.830255021331737
expVariandoCantRayos,tomo2,32,1,12100,0,0,1,0.0001,1,0,30667,879,14.830232012827567
expVariandoCantRayos,tomo2,32,1,13100,0,0,1,0.0001,1,741145,32416,870,14.712508176968011
expVariandoCantRayos,tomo2,32,1,13100,0,0,1,0.0001,1,0,32651,870,14.71246053804097
expVariandoCantRayos,tomo2,32,1,14100,0,0,1,0.0001,1,742188,35013,881,14.838686234122939
expVariandoCantRayos,tomo2,32,1,14100,0,0,1,0.0001,1,0,35964,881,14.838697165919656
expVariandoCantRayos,tomo2,32,1,15100,0,0,1,0.0001,1,744907,37325,881,14.83846800269873
expVariandoCantRayos,tomo2,32,1,15100,0,0,1,0.0001,1,0,38529,881,14.838454468454296
expVariandoCantRayos,tomo2,32,1,16100,0,0,1,0.0001,1,749364,39663,881,14.838023363233386
expVariandoCantRayos,tomo2,32,1,16100,0,0,1,0.0001,1,0,40901,881,14.837951923328154
expVariandoCantRayos,tomo2,32,1,17100,0,0,1,0.0001,1,741357,43105,879,14.830073554986445
expVariandoCantRayos,tomo2,32,1,17100,0,0,1,0.0001,1,0,42931,879,14.830049279081434
expVariandoCantRayos,tomo2,32,1,18100,0,0,1,0.0001,1,756484,44529,879,14.830678059361144
expVariandoCantRayos,tomo2,32,1,18100,0,0,1,0.0001,1,0,44699,879,14.830757500940566
expVariandoCantRayos,tomo2,32,1,19100,0,0,1,0.0001,1,752693,47078,876,14.786825266706744
expVariandoCantRayos,tomo2,32,1,19100,0,0,1,0.0001,1,0,47018,876,14.786801434644572
expVariandoCantRayos,tomo2,32,2,100,0,0,1,0.0001,1,60629,22,100,9.507128875313338
