nombre_imagen,cant_rayos,psnr,tiempo_ms
tomo2-32.csv,10,6.045137618685209,373
tomo2-32.csv,1588,6.04517641787477,390
tomo2-32.csv,3166,6.045176386102732,58
tomo2-32.csv,4745,6.0451764048584975,424
tomo2-32.csv,6323,6.045176413246925,94
tomo2-32.csv,7902,6.045176401289184,462
tomo2-32.csv,9480,6.045176408917158,481
tomo2-32.csv,11058,6.045176412729601,502
tomo2-32.csv,12637,6.0451764022974,171
tomo2-32.csv,14215,6.04517641025163,539
tomo2-32.csv,15794,6.045176412375634,560
tomo2-32.csv,17372,6.045176403632499,579
tomo2-32.csv,18951,6.04517641057842,596
tomo2-32.csv,20529,6.045176412266718,620
tomo2-32.csv,22107,6.045176404531574,642
tomo2-32.csv,23686,6.045176411014128,663
tomo2-32.csv,25264,6.045176412185031,683
tomo2-32.csv,26843,6.045176405757497,702
tomo2-32.csv,28421,6.045176411286441,720
tomo2-32.csv,30000,6.045176412103341,740
phantom-32.csv,10,13.60336692178382,375
phantom-32.csv,1588,13.603428538922275,41
phantom-32.csv,3166,13.603428520944153,58
phantom-32.csv,4745,13.603428528415284,423
phantom-32.csv,6323,13.603428536098532,94
phantom-32.csv,7902,13.603428529298878,461
phantom-32.csv,9480,13.603428532522974,483
phantom-32.csv,11058,13.60342853596614,503
phantom-32.csv,12637,13.603428530756542,169
phantom-32.csv,14215,13.603428533891629,540
phantom-32.csv,15794,13.603428535657212,563
phantom-32.csv,17372,13.603428531330685,578
phantom-32.csv,18951,13.603428534200642,598
phantom-32.csv,20529,13.603428535613078,621
phantom-32.csv,22107,13.603428531816459,640
phantom-32.csv,23686,13.603428534597919,661
phantom-32.csv,25264,13.60342853552481,678
phantom-32.csv,26843,13.60342853239051,700
phantom-32.csv,28421,13.60342853481862,724
phantom-32.csv,30000,13.603428535480674,745
tomo3-32.csv,10,11.076635630398268,373
tomo3-32.csv,1588,11.076643423671193,388
tomo3-32.csv,3166,11.076643390941182,57
tomo3-32.csv,4745,11.076643416720273,425
tomo3-32.csv,6323,11.076643420006729,93
tomo3-32.csv,7902,11.076643407445301,460
tomo3-32.csv,9480,11.076643417815873,482
tomo3-32.csv,11058,11.076643419711834,501
tomo3-32.csv,12637,11.076643408837064,171
tomo3-32.csv,14215,11.076643418321495,537
tomo3-32.csv,15794,11.076643419374799,562
tomo3-32.csv,17372,11.076643410186477,578
tomo3-32.csv,18951,11.076643418405766,596
tomo3-32.csv,20529,11.076643419332669,622
tomo3-32.csv,22107,11.076643411409234,640
tomo3-32.csv,23686,11.076643418616431,662
tomo3-32.csv,25264,11.076643419248406,682
tomo3-32.csv,26843,11.076643412674008,704
tomo3-32.csv,28421,11.076643418658563,722
tomo3-32.csv,30000,11.076643419164146,742
tomo-32.csv,10,6.049127200167171,374
tomo-32.csv,1588,6.049166888350951,389
tomo-32.csv,3166,6.0491668563504355,58
tomo-32.csv,4745,6.049166875205474,423
tomo-32.csv,6323,6.049166883725576,94
tomo-32.csv,7902,6.049166871638026,461
tomo-32.csv,9480,6.049166879343676,480
tomo-32.csv,11058,6.049166883208528,499
tomo-32.csv,12637,6.04916687267295,171
tomo-32.csv,14215,6.04916688067744,543
tomo-32.csv,15794,6.0491668828275325,556
tomo-32.csv,17372,6.049166874007348,578
tomo-32.csv,18951,6.049166881004059,600
tomo-32.csv,20529,6.049166882718676,618
tomo-32.csv,22107,6.049166874905953,637
tomo-32.csv,23686,6.049166881466753,659
tomo-32.csv,25264,6.049166882637032,681
tomo-32.csv,26843,6.049166876158457,704
tomo-32.csv,28421,6.04916688173892,724
tomo-32.csv,30000,6.049166882555388,745
